MC_cycle,Potentiel_energy (kJ/mol)
77.0,-154295.5460675919
78.0,-154295.25178039624
79.0,-154295.25178039624
80.0,-154297.54575821178
81.0,-154297.2432780031
82.0,-154296.81319235216
83.0,-154290.818462649
84.0,-154295.67946498265
85.0,-154297.36417118815
86.0,-154297.24948502358
87.0,-154296.30131320906
88.0,-154298.4330307174
89.0,-154298.56904542167
90.0,-154294.036519105
91.0,-154296.30111398993
92.0,-154298.7236652672
93.0,-154300.0469756048
94.0,-154300.0469756048
95.0,-154297.71859755024
96.0,-154291.84902426947
97.0,-154292.049984351
98.0,-154296.16534052504
99.0,-154296.16534052504
100.0,-154287.6215642336
101.0,-154288.08827129228
102.0,-154292.19802345894
103.0,-154291.2456990235
104.0,-154291.46278400425
105.0,-154280.8719800125
106.0,-154288.59582179334
107.0,-154301.70423259088
108.0,-154300.98387235374
109.0,-154299.29443239493
110.0,-154297.49721708658
111.0,-154298.27420235175
112.0,-154300.85338023165
113.0,-154300.9292743628
114.0,-154294.4262100679
115.0,-154286.81595234672
116.0,-154287.45852774344
117.0,-154287.45852774344
118.0,-154281.44713715624
119.0,-154279.3201499435
120.0,-154279.6051727617
121.0,-154280.69107813874
122.0,-154278.75630379713
123.0,-154275.9611915461
124.0,-154276.93105036468
125.0,-154278.98894510543
126.0,-154280.71446596173
127.0,-154281.18128654035
128.0,-154279.71702901233
129.0,-154271.79317090052
130.0,-154270.74677593482
131.0,-154272.49297963863
132.0,-154270.4027512346
133.0,-154268.02826605004
134.0,-154274.1490643562
135.0,-154275.50995672276
136.0,-154271.6476663555
137.0,-154281.6389591139
138.0,-154281.08312458094
139.0,-154280.71956361763
140.0,-154285.3279335735
141.0,-154284.84035545954
142.0,-154286.5376725922
143.0,-154285.94005507813
144.0,-154282.02283561166
145.0,-154283.30938417485
146.0,-154278.5660841277
147.0,-154292.12702963123
148.0,-154292.12702963123
149.0,-154293.31691667077
150.0,-154292.3520704051
151.0,-154298.80661520292
152.0,-154296.99517549932
153.0,-154297.54398404254
154.0,-154296.9609275428
155.0,-154296.59274852145
156.0,-154295.16161052985
157.0,-154294.90460707457
158.0,-154291.15291777666
159.0,-154293.66436169206
160.0,-154294.40864061075
161.0,-154294.24066354305
162.0,-154296.94175859014
163.0,-154295.84430680057
164.0,-154295.84430680057
165.0,-154287.01704512807
166.0,-154287.5201037571
167.0,-154288.56679422696
168.0,-154292.87612307593
169.0,-154292.8968749935
170.0,-154299.69294504102
171.0,-154299.98784815715
172.0,-154301.22565736153
173.0,-154300.3466703045
174.0,-154302.95592227025
175.0,-154302.95592227025
176.0,-154295.47951564234
177.0,-154295.5496657919
178.0,-154294.57269656367
179.0,-154292.93500083286
180.0,-154293.66679872293
181.0,-154294.66241782485
182.0,-154298.778309066
183.0,-154298.73658006632
184.0,-154296.26108973307
185.0,-154292.712100614
186.0,-154292.21745379985
187.0,-154291.16269918717
188.0,-154289.90440445847
189.0,-154290.07370448214
190.0,-154291.24211670185
191.0,-154293.10723520542
192.0,-154293.10723520542
193.0,-154293.22987596088
194.0,-154291.5488625354
195.0,-154291.783524418
196.0,-154296.00949357462
197.0,-154296.00949357462
198.0,-154297.3212060298
199.0,-154297.97241951633
200.0,-154292.4583877777
201.0,-154287.8028374546
