Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,ASA_m2_cm3,time
AKUKUO_clean_2,-32.2765,0.00104978,161.072,0.245697
acscombsci.5b00188_5013797_clean_1,-22.1381,8.01313e-05,671.087,0.669743
AMUCOB_clean_2,-23.1847,4.58913e-07,0,0.0973326
ALEQIT_clean_2,-31.1049,0.000251638,138.597,0.259929
AMIZIG_clean_62,-24.223,2.83615e-05,156.979,0.131375
AHINIP_clean_4,-36.4982,0.000823484,18.2675,0.338295
AMUFIZ_clean_2,-23.3404,1.08902e-06,0,0.101603
acs.inorgchem.6b00894_ic6b00894_si_002_clean_5,-33.2083,0.00206575,241.062,0.685103
ANAWIX_clean_15,-26.8027,0.000168844,284.466,0.0883551
AHEBAS_clean_5,-35.1664,0.00217652,156.875,0.354305
AMUFOF_clean_2,-29.3306,0.00021956,64.0508,0.11756
AHOZAA_clean_60,-39.7633,0.00547571,49.6046,0.354334
AMUFEV_clean_2,-24.5482,4.7418e-06,0,0.124344
AJAKON_clean_14,-32.5366,0.000481282,93.1217,0.361472
ANAWOD_clean_52,-25.8103,0.00013841,496.48,0.102837
am301365h_si_002_clean_160,-22.5431,6.30349e-05,584.879,0.219272
AFITIT_clean_5,-29.8424,0.000320652,313.918,0.43745
AHIYOH_clean_61,-33.0768,0.00120049,175.112,0.389394
AQALIO_clean_62,0.701016,3.89956e-11,0,0.0417557
ALULID_clean_2,-23.1131,9.83267e-05,603.755,0.242586
APARAM_clean_147,-44.6256,0.0146644,280.207,0.0763767
AQALOU_clean_62,1.7715,2.10921e-11,0,0.0408227
APEBED_clean_19,-34.0488,0.000407462,7.9374,0.0720757
AQEQES_clean_15,-24.3664,0.000173086,511.752,0.0412339
AJOVEB_clean_2,-27.1018,4.573e-05,67.7968,0.376197
ANENEN_clean_2,-29.1818,0.000213656,166.423,0.145599
AQETUM_clean_14,-21.9827,1.52232e-05,92.9224,0.0437029
AMUFAR_clean_2,-32.3341,0.000230063,0.251544,0.171436
APETAS_clean_13,-22.1249,8.36138e-07,0,0.0793773
APACAX_clean_122,-28.075,0.000444098,181.318,0.116043
AMOYOR_clean_2,-33.7837,0.00112112,28.0621,0.19305
ADASUV_clean_2,-20.3855,5.80135e-05,789.883,0.759261
AQEQIW_clean_14,-24.9759,0.00022467,571.994,0.0728905
ALURIJ_clean_18,-30.545,0.000357026,227.53,0.278649
AQETIA_clean_14,-18.2647,2.24362e-07,0,0.0671205
AKOXIJ_clean_12,-44.4856,0.0312267,304.05,0.41002
ALURAB_clean_18,-29.6319,0.000265502,225.153,0.28696
APAZOI_clean_15,-28.8148,0.000511998,438.486,0.117008
AFUKAP_clean_2,-26.4528,0.000170002,343.279,0.478904
ANONAT_manual_2,-22.7328,0.000116676,779.39,0.171635
AQMAND_clean_2,0.540975,1.9721e-11,0,0.0445772
AMUWUB_clean_2,-22.645,2.9686e-05,460.121,0.200499
ANOMUM_clean_2,-23.3463,0.000154721,649.565,0.1844
AQOLOJ_clean_221,-37.4385,0.00436377,953.697,0.0360185
ANUGOG_clean_15,-20.158,6.86233e-05,923.387,0.173341
AQOMAW_clean_221,-31.2529,0.000417387,652.091,0.0373091
AQMAND01_clean_2,-2.53896,4.8241e-11,0,0.052099
AQOTIK_clean_123,-30.6265,0.000497765,345.123,0.0328331
APEBEE_clean_2,-33.5759,0.000992656,193.4,0.153049
AQEFUY_clean_15,-21.9658,3.43754e-05,388.457,0.131346
AMUXAI_clean_2,-24.1067,4.04511e-05,421.104,0.222324
AHUFIU_clean_14,-20.2092,2.55683e-05,694.242,0.470602
ANOMOG_clean_12,-35.2956,0.00079409,639.897,0.2164
AQAJEI_clean_60,-29.5698,0.000510355,316.113,0.158746
APAYOH_clean_15,-29.5867,0.000720228,512.331,0.191109
AMIXEA_clean_1,-36.4666,0.00175567,64.723,0.299179
ARAHIM02_clean_140,-2.93205,1.93572e-11,0,0.0151375
AQOLEZ_clean_123,-29.5937,0.000361984,770.917,0.083599
APAYUN_clean_15,-28.3484,0.000480937,459.462,0.186871
ARAHIM01_clean_87,0.946041,2.32086e-12,0,0.0242048
AQODOA_clean_14,-9.1456,5.76045e-10,0,0.0970598
ALUREF_clean_18,-30.08,0.000297216,228.198,0.364157
ARAFIJ_clean_24,-23.7672,0.00012182,647.745,0.0488853
ARAFOP_clean_24,-28.7107,0.000360194,256.183,0.0460317
ALOLET_charged_159,-23.7182,6.85608e-05,535.63,0.413287
AMUPOP_clean_15,-35.8197,0.000885302,3.52798,0.270674
APAYIB_clean_15,-29.7516,0.000751993,483.453,0.213893
acs.inorgchem.6b01211_ic6b01211_si_002_clean_2,-33.4045,0.00137195,567.663,0.866368
AQIQIC_clean_15,-30.1721,0.000509621,268.048,0.118511
AMOFAK_clean_19,-17.7689,4.87039e-05,1097.16,0.307328
APAZAU_clean_15,-28.4612,0.00056807,632.197,0.212016
ARAHIM_clean_87,-2.42816,2.74291e-11,0,0.0485904
APAZIC_clean_15,-27.0948,0.000356233,772.525,0.216574
APAZEY_clean_15,-28.1811,0.00051938,699.95,0.226217
AQUDAT_clean_15,-32.9632,6.30185e-05,0,0.0972421
AMAGAX_clean_2,-28.8474,0.000350562,389,0.397624
AQIXUU_clean_2,-48.0189,0.0904742,28.595,0.153172
AQUDEX_clean_15,-33.7772,9.89571e-05,0,0.0950054
ARUYUH01_clean_56,-29.4902,0.000228048,71.7193,0.0360288
AQIQAU_clean_15,-23.497,0.000112656,692.034,0.163662
ARADEE_clean_15,-23.0807,0.000108364,459.401,0.105411
AQUDOH_clean_15,-33.5634,8.92124e-05,0,0.103764
ANENIR_clean_1,-29.7861,0.000260607,172.922,0.307798
ARUYUH_clean_56,-28.7862,0.000122334,7.84965,0.0461505
ARAFEF_clean_24,-22.555,8.65978e-05,757.573,0.105966
ARUYOB_clean_14,-28.0498,0.000121957,25.4454,0.0602986
ALANAD_clean_2,-19.8013,6.57813e-05,928.939,0.526443
ANUGEW_clean_2,-18.8514,4.22564e-05,821.749,0.309516
