Structures,K_Xe_widom,dK_Xe_widom,H_Xe_0_widom,dH_Xe_0_widom
ONUKAL_clean,0.000600502,7.609e-06,-31.512280645917386,0.03771794885606472
ONUQOE_clean,0.000553343,5.77693e-06,-29.92955364207784,0.024107269818321855
OPAGIX_clean,5.11585e-05,9.00083e-08,-19.770788212703348,0.01433290833115899
OPAHIY_clean,0.00440019,0.000351653,-44.101320092139424,0.17143928373045558
OPAMOI_clean,9.00546e-06,1.13985e-07,-21.070345257540247,0.03155464794841503
OPAPEB_clean,0.000130223,3.37263e-06,-32.017782778433215,0.047478907380431805
OPAPIF_clean,0.000125224,1.97765e-06,-32.06604624537488,0.03748340670970052
OPAPOL_clean,0.000125017,2.98532e-06,-32.09733127464169,0.051152390586469025
OPAPUR_clean,0.000121355,2.95186e-06,-32.248786955974516,0.05687505854666231
OPEGIA_clean,0.0967614,0.00186425,-47.853689066236385,0.013051848861214584
OPEGOG_clean,0.0159567,0.000270989,-45.58084076813089,0.03610759135511453
OPENIH_clean,8.06884e-08,2.90302e-09,-18.340140361018943,0.10127693924570477
OPENON_clean,0.00122055,3.55942e-05,-38.03061479982579,0.0527210992313856
OPENUT_clean,4.34275e-05,6.07218e-07,-24.30464545659606,0.062420884699838156
OPINIL_clean,2.19889e-06,2.01893e-08,-18.694720157061433,0.02626155918105991
OPIPOT_clean,0.000713529,1.14971e-05,-34.663932935520776,0.036323065100438576
OPIPUZ_clean,0.000113017,5.45507e-06,-32.74796339702344,0.0918294797476651
OPIWEQ_clean,0.000981984,3.81095e-05,-37.983132512015175,0.06408248640647311
OPIYAP_clean,0.00031872,3.7415e-06,-28.509558602424466,0.023183894680614207
OPOBIF_clean,0.000468476,6.67002e-06,-32.11100051665342,0.009259222538748743
OPOBOL_clean,8.08119e-18,1.18856e-18,33.55671867591313,0.4075765190486697
OPOCEC_clean,0.00211445,2.825e-05,-36.83169751111905,0.015442400699979701
OPOCUS_clean,0.00101131,1.06317e-05,-38.620010691074604,0.04434714646524733
OPOYUO_clean,0.000499254,3.21995e-06,-33.28293165758459,0.0421644562684291
OPOZEZ_clean,0.000166868,1.20737e-06,-26.92723357796566,0.03210975047364855
OPUCUY_clean,5.51959e-05,1.12324e-06,-31.77593069476639,0.06244034300011978
OPUDAF_clean,9.41331e-05,2.29038e-06,-31.870627529470045,0.04344972665284192
OPUDIN_clean,1.58417e-05,2.34781e-07,-27.71430791726974,0.04140093829235406
OPUDOT_clean,0.000141269,1.09477e-06,-31.30347573864024,0.006841948230810568
OPURIB01_clean,5.84417e-11,4.71866e-12,-4.252416644051836,0.08054413616128715
OPURIB_clean,1.34163e-10,7.07133e-12,-6.193748617672495,0.16262049116899613
OQANIE_clean,0.00528181,0.000102275,-40.485198953903634,0.053152809366117354
OQEPEG_clean,0.0653353,0.000881088,-46.09720493502059,0.05154106481325533
OQEPUW_clean,5.6496e-05,5.71989e-07,-26.895953870449635,0.029153703322383415
OQEROS_clean,0.00143819,9.51527e-06,-32.76716677108458,0.019307212209115545
OQERUY_clean,0.00159982,5.9615e-06,-33.265451176869355,0.01611097462265241
OQESAF_clean,0.00174217,1.49727e-05,-33.89890541559475,0.042907694094513435
OQESEJ_clean,0.0014013,6.96828e-06,-32.84891167959666,0.0056498269544868
OQETEK_clean,8.10349e-05,2.91826e-07,-23.912773132578984,0.013578674809517422
OQIQEM_clean,0.000460234,1.64488e-06,-30.284328652848533,0.008308929694982627
OQIQIQ_clean,0.000447142,3.30263e-06,-29.862164851627856,0.004664601157936087
OQIQOW_clean,0.000694945,4.19902e-06,-30.398771611553467,0.009168093421038305
OQIQUB01_charged,0.000434368,3.47961e-06,-30.917557813468562,0.03191546705921222
OQIQUB_charged,0.000212197,3.36876e-06,-28.77275894503233,0.042712006518664115
OQIRAI_charged,7.28547e-05,4.68548e-07,-27.88428652082446,0.04228738183012403
OQIZUL_clean,0.000311693,6.25381e-06,-32.79250103662148,0.0335174555546695
OQOBUT_clean,0.000461133,4.96815e-06,-29.396305651866648,0.0197516172968933
OQOJUB_clean,0.00102703,1.27001e-05,-33.30694833779239,0.06788896251261874
OQOXAV_clean,1.70023e-08,9.04823e-10,-14.792875452424282,0.06096860796893061
OQUCOU_clean,4.73672e-05,1.25119e-07,-21.078758525918012,0.010620615415289933
OQUFAJ01_clean,5.03766e-05,2.11873e-07,-22.250343334698407,0.024098793074853766
OQUFAJ02_clean,0.000164047,2.27009e-06,-27.80010729881286,0.034773571141217464
OQUFAJ03_clean,4.53373e-05,2.77992e-07,-22.278932890737103,0.01544904884118984
OQUFAJ04_clean,4.80532e-05,2.37034e-07,-22.28892700852563,0.020918960357982644
OQUFAJ_clean,4.19555e-05,3.39515e-07,-21.67718838681856,0.03184932071163988
OQUFIR_clean,0.000211676,1.7725e-06,-29.66126694310834,0.04017530703363602
OQUFOX_clean,6.63703e-05,7.69963e-07,-24.82257909611256,0.03501283919820177
OQUFUD_clean,0.000610154,6.97502e-06,-31.586582141549737,0.015378945593465086
OQUGAK_clean,0.00178939,0.000102024,-42.092567325284776,0.16371326017857704
OQUGUE_clean,0.000132085,1.14133e-06,-28.790383469859723,0.04632941116202911
OQUWUU_clean,1.45097e-05,1.95275e-07,-24.081324228992607,0.05008994074456973
OQUXAB_clean,1.83774e-05,1.82359e-07,-25.569177618225986,0.016563956758743833
OQUXEF_clean,1.76696e-05,1.51633e-07,-25.670711893772197,0.0270976399459562
OQUXIJ_clean,1.93849e-05,2.62799e-07,-25.990264127201456,0.02202376106345479
OQUZIL_clean,1.96714e-05,2.80734e-07,-26.154013088006323,0.022716836470271153
ORAGEU_clean,1.88653e-06,1.07416e-08,-18.053643357919945,0.01180365103016131
ORAGOF_clean,3.00541e-05,1.6597e-07,-20.442969637467836,0.020127788180750426
ORAJAT_clean,3.0095e-06,1.92411e-08,-19.62911357607096,0.011179474570214787
ORAJEX_clean,3.51942e-06,2.36908e-08,-20.232674676772046,0.012348437472371769
ORAJOH_clean,3.73661e-06,1.8351e-08,-20.557972935576416,0.007688281460619194
ORAKAU_clean,3.25599e-06,1.41753e-08,-19.92966859298784,0.009642449082235199
ORAKIC_clean,4.38145e-06,3.21518e-08,-21.693129509778355,0.0062239365956879775
ORAKUO_clean,5.01989e-06,2.9083e-08,-21.337952582060222,0.011129403711472054
ORANAY_clean,0.000117234,1.16074e-06,-27.52739138118617,0.006809468925831363
ORAQUU_clean,0.0113578,7.30156e-05,-42.07618051231849,0.02484940072087458
ORERAG_clean,0.00359836,3.70147e-05,-39.53079619031244,0.03377306125216398
OREZAO_clean,0.000172146,1.26576e-06,-32.424756069796075,0.015063758488443876
OREZES_clean,6.40634e-06,5.02447e-08,-20.40280106137748,0.012115475963552502
OREZUI_clean,0.0606687,0.000511289,-43.15734370663447,0.026034871641015367
ORIBAU_clean,0.000111287,1.0079e-06,-25.89675285796087,0.04711137091551186
ORIVOC_clean,3.40651e-05,1.55495e-07,-19.816153410071117,0.015913553627681744
ORIVUI_clean,3.01579e-05,6.55299e-08,-18.980320581256148,0.01348584291148039
ORIWAP_clean,2.69144e-05,5.52783e-08,-18.69283237330831,0.010143640697536873
