Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,ASA_m2_cm3,time
AFOVAT_clean_1,-32.297,0.000454858,2710.28,1.13066
AFOTOF_clean_1,-33.8116,0.000616438,2850.66,1.13396
ALIXOJ_clean_14,-21.6901,5.9614e-05,2336.27,0.51668
AFOVIB_clean_1,-33.7394,0.000575428,2855.57,1.13791
AFOTUL_clean_1,-33.5114,0.000573539,2849.51,1.14584
ALOLIY_clean_15,-15.8057,4.65109e-06,1421.42,0.51877
AHAMAY_clean_2,-31.2269,0.000108463,4.47756,1.01771
ALAHUS_clean_122,-23.0115,8.20454e-05,1966.44,0.740266
AFIXES_clean_14,-32.0954,0.000513056,869.005,1.32348
AJAMEF_clean_15,-37.8807,0.000928495,0,1.019
AGUVOO_charged_60,-26.57,0.000184236,703.463,1.16544
AFIXAO_clean_14,-31.8286,0.000515068,766.715,1.33972
AJUNOK_clean_54,-33.3645,0.00057545,90.6084,1.00875
AFEDIA_clean_2,8.2566,6.54195e-13,0,1.37657
ACOLIP_clean_1,-33.1617,0.000784542,31.6556,1.95246
AKOBAF_clean_15,-34.5109,0.00184101,50.6316,1.00005
acscombsci.5b00188_5013797_clean_1,-20.725,8.5761e-05,3833.15,1.95896
AGAYOW_clean_15,-31.9804,0.000605809,311.426,1.2564
AKUKUO_clean_2,-31.8427,0.000916096,287.065,0.972335
ac403674p_si_001_clean_4,-21.4551,2.83946e-05,2118.47,2.00427
AHOBEG_clean_2,-31.4287,0.000237519,19.9854,1.2968
acs.inorgchem.6b01211_ic6b01211_si_002_clean_2,-32.9719,0.00119018,3143.56,2.07942
ANAWIX_clean_15,-26.2636,0.000207942,949.541,0.319448
AMOZAE_clean_14,-23.566,1.78842e-06,0,0.372217
AMIKOX_clean_54,-1.74262,3.52392e-11,0,0.614654
AMIWID_clean_14,-35.615,0.00106972,99.7708,0.60625
AMIXAW_clean_14,-36.0126,0.00118505,93.9026,0.590426
ANAWOD_clean_52,-24.0884,0.000130689,2481.39,0.41735
AMIWUP_clean_14,-35.6337,0.0010917,105.667,0.604755
AMIWOJ_clean_14,-35.3986,0.00102708,105.916,0.637655
AMEJIM_charged_148,-24.3134,5.69637e-05,791.201,0.716548
AMAFOK_clean_2,-29.9321,0.000873047,1414.45,0.788844
ALIFUY_clean_14,-37.9238,0.00113936,3.70654,1.1221
AHUFIU_clean_14,-18.557,2.44997e-05,3273.52,1.48713
ADASUV_clean_2,-18.4869,5.26024e-05,4207.44,2.35765
AHIYOH_clean_61,-32.8128,0.00126076,397.169,1.62009
am301365h_si_002_clean_160,-21.2071,6.27053e-05,3308.12,0.983439
AMIZIG_clean_62,-23.7965,4.47724e-05,761.053,0.737489
APACAX_clean_122,-27.9866,0.000433863,414.23,0.377549
AKAYIV_clean_13,-20.316,2.83558e-05,2705.24,1.51148
ALULID_clean_2,-22.3534,9.97739e-05,2381.69,1.07823
AKOXIJ_clean_12,-42.2788,0.0266383,1322.88,1.47717
AJINOY_clean_2,-14.3343,4.28408e-09,0,1.57915
AMUFOF_clean_2,-29.0581,0.000176309,120.002,0.71059
ACOLUB_clean_2,-26.2782,0.000190027,1371.75,2.48928
