Structures,CPU_time (s)
ASIQIE_clean,111.76
ASIRUR_clean,144.09
ASOHUL_clean,71.4
ASOSUY_clean,141.95
ASOVEL_clean,111.29
ASOYOY_clean,247.79
ASUBIB_clean,123.13
ASUJIJ_clean,191.68
ASUKEE01_clean,347.12
ASUKEE_clean,340.69
ASUWUI_clean,181.73
ATAFIK_clean,114.47
ATAYAX_clean,84.67
ATAYEB_clean,144.53
ATEJOA_clean,173.0
ATEXII_clean,196.16
ATEYED_clean,82.35
ATEZAC_clean,135.13
ATEZEG_clean,154.78
ATEZIK_clean,152.78
ATIBAG_clean,134.2
ATIBIO_clean,105.06
ATIBOU01_clean,136.58
ATIBOU02_clean,131.13
ATIBOU_clean,136.82
ATIBUA_clean,138.29
ATICAH_clean,136.31
ATICEL_clean,134.64
ATIJUJ_clean5b,125.59
ATIJUJ_manual,124.13
ATIRUS_clean,92.21
ATIXAE_clean,84.04
ATIXUX_clean,104.76
ATOGEV_clean,81.61
ATOTIM_clean,116.75
ATOTIM_manual,116.73
ATOWIQ_clean,89.12
ATOWOW_clean,89.81
ATOXEN_clean,142.54
ATULIM_clean,120.2
ATUXIY_clean,223.3
ATUXOE_clean,116.94
ATUXUK_clean,114.33
ATUYAR_clean,111.66
ATUZEW_clean,168.97
AVAGIP_clean,164.38
AVAGOV_clean,140.29
AVAGUB_clean,255.28
AVALEO_clean,172.8
AVAQIX01_clean,99.46
AVAQIX_clean,114.4
AVEHAM_clean,105.65
AVELOD_clean,89.75
AVELUJ_clean,89.79
AVEMAQ_clean,90.08
AVEMOE_clean,134.96
AVEQID_clean,96.22
AVEROJ_clean,97.58
AVESAW_clean,133.87
AVESOL_clean,102.97
AVESUR_clean,130.86
AVETAY_clean,94.76
AVETEC_clean,98.71
AVETOM_clean,297.33
AVEVEE_clean,123.63
AVIHIY_clean,80.34
AVIHOE_clean,74.61
AVIMIC_clean,239.69
AVIMOI_clean,115.23
AVIMUO_clean,116.31
AVIPAX_clean,91.55
AVIPOL_clean,74.17
AVITUU_clean,230.6
AVIVAC_clean,229.9
AVIVEG_clean,226.83
AVIVIK_clean,227.75
AVIVOQ_clean,229.82
AVIVUW_clean,229.53
AVOSIO_charged,287.0
AVUBUP_clean,167.0
AVUCEA_clean,172.68
AVUDAX_clean,186.44
AVUHIJ_clean,268.97
AVUJIL_clean,129.14
AVUPIR_clean_h,117.07
AVUPIR_SL,164.5
AWAGEL_clean,105.62
AWAGOV_clean,251.42
AWAHAI_clean,210.14
AWAHEM_clean,78.86
AWAJIT_clean,192.25
AWAKEQ_clean,135.91
AWAREV_clean,227.71
AWARIZ_clean,222.14
AWASAU_clean,89.27
AWASOI_clean,133.5
AWAWUR_clean,232.59
AWEBIO_charged,176.67
AWEDOW_charged,138.12
AWEDUC_charged,134.87
AWEGEP_clean,158.3
AWEJES_clean,281.97
AWEJIW_clean,161.58
AWEWOP_clean,239.27
AWEZOS01_clean,686.16
AWEZOS_clean,702.86
AWIBAK_clean,701.64
AWIBAL_clean,131.16
AWIBEO_clean,693.67
