Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,time
ARAHIM_clean_87,-0.571808,2.68063e-11,11.2518
ARAHIM01_clean_87,3.40165,4.74216e-12,11.4638
ARADEE_clean_15,-23.0777,0.000108384,15.0536
AQEFUY_clean_15,-21.96,3.43908e-05,26.9068
ARUYUH01_clean_56,-29.4893,0.000228076,6.7279
ARUYUH_clean_56,-28.7765,0.000122434,6.67483
AQMAND01_clean_2,-1.5749,6.48166e-11,21.4485
AMUCOB_clean_2,-22.4863,4.40275e-07,59.1233
AQAJEI_clean_60,-29.5703,0.000510389,34.9431
ANENEN_clean_2,-29.1775,0.000213686,50.9161
ARAGOR_clean_15,-25.8456,0.000197369,16.5532
acs.inorgchem.6b00894_ic6b00894_si_002_clean_5,-33.2036,0.00206617,129.206
AQIQAU_clean_15,-23.4924,0.000112647,27.5153
APEBEE_clean_2,-33.5677,0.000992744,39.1063
AQIQIC_clean_15,-30.1708,0.000509661,28.2952
ARUYOB_clean_14,-28.0433,0.000121899,13.0736
AMUXAI_clean_2,-24.1015,4.04669e-05,62.0834
AMOYOR_clean_2,-33.775,0.00112212,65.1964
ASOHUL_clean_62,-20.4028,3.80933e-05,4.93897
AFUKAP_clean_2,-26.4384,0.000170167,112.688
AJAYIT_clean_9,-29.9361,0.000298425,99.8619
AHOZAA_clean_60,-39.7597,0.00547961,102.634
AQUDEX_clean_15,-33.8212,0.000102336,26.3002
AQUDAT_clean_15,-32.8418,6.25306e-05,26.8965
AQUDOH_clean_15,-33.457,8.89895e-05,26.2992
ASEKAM_clean_15,-27.4028,0.000200235,11.1942
ANUGIA_clean_1,-19.1886,5.0338e-05,53.3742
AFOQUI_clean_1,-30.059,4.08791e-05,122.156
ALUREF_clean_18,-30.0737,0.000297289,83.0313
ALURAB_clean_18,-29.624,0.0002656,84.0547
ASACON_clean_52,-27.2261,0.000125527,19.8612
ASALAH_clean_19,-36.4832,0.00070954,19.2277
ACIBIY_clean_2,-28.9315,0.000156533,139.664
ARUYES_clean_14,-29.0926,0.000498781,23.9511
ASEJOZ01_clean_15,-24.6232,1.23561e-05,16.7312
ALURIJ_clean_18,-30.5392,0.000357189,85.8829
ASEJOZ_clean_15,-24.6342,1.19781e-05,16.9727
AGIREP_clean_2,-23.6322,0.000111089,115.526
AQUCOF_clean_7,-21.7344,3.97937e-05,35.5976
AQOSEG_clean_88,-23.9357,9.09898e-05,36.247
acs.inorgchem.6b00894_ic6b00894_si_003_clean_19,-33.9958,0.000782986,143.068
AMUPOP_clean_15,-35.8001,0.00088373,74.6982
AQUDAS_clean_7,-21.6218,3.93376e-05,35.5673
ATAFIK_clean_106,-22.7313,0.000108097,12.1263
AQUCOG_clean_2,-20.184,3.12754e-05,37.6659
ASALIP_clean_19,-30.8376,1.68825e-05,24.6566
ASIQEA_clean_86,-25.791,8.83252e-05,20.8039
AQUCUM_clean_2,-20.088,3.14747e-05,38.3866
ASIQIE_clean_86,-26.0208,9.56762e-05,20.369
AQUDIB_clean_2,-20.2155,3.06978e-05,38.0022
AJOVEB_clean_2,-27.0948,4.57916e-05,112.861
ARINUL_clean_117,-37.2704,0.00205349,36.1364
ATEYED_clean_15,-18.5081,5.96305e-05,13.7764
ATIBIO_clean_14,-22.6126,1.41544e-05,13.3869
ASIRUR_clean_14,5.55702,3.09839e-12,24.5496
AQODOA_clean_14,-8.37212,7.1815e-10,46.146
ATOTIM_clean_63,-33.0475,0.000937932,8.88369
ASAJOU_clean_12,-33.8037,0.000560851,32.1684
ATOTIM_manual_63,-33.0475,0.000937932,8.92061
AMUWIP_charged_34,-24.7765,0.000134669,84.5349
AROFET_clean_2,-25.6366,0.000153564,40.4995
AMILUE_clean_9,-35.5787,0.00122465,94.8936
ARIBOS_clean_14,47.3422,2.74886e-20,43.0028
ATOGEV_clean_14,-25.5449,0.000111967,12.8957
