Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,time
AMUFAR_clean_2,-31.9819,0.000160892,37.9384
AMUFEV_clean_2,-24.1229,3.82602e-06,38.4576
AJAKON_clean_14,-32.0133,0.000465774,73.5297
ANUGUM_clean_2,-21.1787,0.000127832,23.3109
ANONAT_manual_2,-21.9962,0.000138364,27.0754
ANOMUM_clean_2,-22.7069,0.000171481,28.5454
AJINOY_clean_2,-13.6993,3.16425e-09,73.6076
AQALIO_clean_62,1.49561,8.29794e-11,13.5568
APARAM_clean_147,-44.2829,0.00947346,22.6088
ALANAD_clean_2,-19.5002,8.46035e-05,71.3343
AQALOU_clean_62,2.52722,4.9153e-11,14.2678
APAZOI_clean_15,-28.625,0.000573733,18.3331
AKAYIV_clean_13,-20.4938,2.79666e-05,75.357
ADODUU_clean_1,-31.5927,0.00144468,102.95
ADODOO_clean_1,-31.2065,0.00127853,105.234
AQETUM_clean_14,-21.3757,1.0555e-05,10.1252
ALEQIT_clean_2,-30.586,0.000317552,71.5647
AQOLOJ_clean_221,-35.553,0.00356831,6.07412
AQEQIW_clean_14,-24.5175,0.000258541,12.4892
AQOTIK_clean_123,-29.8631,0.000567561,5.10432
AQOMAW_clean_221,-29.9169,0.000458847,6.40237
APAYUN_clean_15,-27.9973,0.000576699,24.8723
APAYOH_clean_15,-29.2186,0.000763293,25.4999
AHEBAS_clean_5,-34.5278,0.00239134,86.0416
APEBED_clean_19,-33.7443,0.000282992,22.5666
APAYIB_clean_15,-29.3807,0.000825723,26.493
APETAS_clean_13,-22.179,9.17324e-07,22.3286
AMUWUB_clean_2,-22.1069,3.1773e-05,45.6015
ACOLUB_clean_2,-26.4354,0.000206653,116.405
AQOLEZ_clean_123,-27.924,0.000355222,10.8923
APAZIC_clean_15,-26.6458,0.000409887,26.4519
AQMAND_clean_2,-0.365637,5.38957e-11,14.4821
ARAFEF_clean_24,-21.7644,9.41427e-05,7.70129
ARAHIM02_clean_140,-0.665167,1.77917e-10,6.63532
ARAFIJ_clean_24,-23.0045,0.00013421,8.92455
ABAVIJ_clean_1,-41.407,0.00443171,121.308
APAZAU_clean_15,-28.0257,0.000619095,30.9567
APAZEY_clean_15,-27.7202,0.000574618,30.9003
AQETIA_clean_14,-17.9647,2.05076e-07,19.9209
ANUGEW_clean_2,-17.7939,4.21472e-05,40.7521
ALOLET_charged_159,-23.2322,7.48774e-05,75.5801
ARAFOP_clean_24,-28.4288,0.000438744,10.7868
ARAHIM01_clean_87,3.84104,3.34099e-11,11.3103
ARAHIM_clean_87,0.0297085,1.41777e-10,11.0332
AMUCOB_clean_2,-23.1806,6.28255e-07,56.2998
acs.inorgchem.6b00894_ic6b00894_si_002_clean_5,-32.8316,0.00236345,125.863
AQMAND01_clean_2,-2.6239,1.20798e-10,21.2769
ARUYUH01_clean_56,-29.2672,0.000181658,6.71929
AQEFUY_clean_15,-20.8136,3.44631e-05,26.5014
AFITIT_clean_5,-29.6606,0.000391634,112.348
ARUYUH_clean_56,-28.7878,0.000106181,7.01642
ARADEE_clean_15,-23.1005,0.00013405,15.3216
AQAJEI_clean_60,-29.5251,0.000747153,34.2196
ARAGOR_clean_15,-25.649,0.000280872,16.5122
ANENEN_clean_2,-28.3914,0.000247505,51.7069
