Structures,chan_count,chan_mean_dim
AXUHEH_clean,2,1.0
AXUHIL_clean,0,-1.0
AXUJOT_clean,1,1.0
AXUPEO_clean,1,1.0
AYAWEE_clean,0,-1.0
AYOXUJ_clean,2,1.0
AYOYEU_clean,0,-1.0
AYOYOE_clean,0,-1.0
AYUPOZ_clean,0,-1.0
AYUWUM_clean,0,-1.0
AZAFIS_clean,1,1.0
AZAVOO_clean,6,1.0
AZAVUU_clean,6,1.0
AZAWAB_clean,6,1.0
AZAWAZ_clean,1,1.0
AZEBUE_clean,2,1.0
AZEWEH_clean,1,1.0
AZILEA_clean,0,-1.0
AZILEC_clean,0,-1.0
AZIMIH_clean,2,1.5
AZIVAI_clean,1,3.0
AZIXUD_clean,2,2.0
AZOBUN_clean,0,-1.0
AZOHEC_clean,0,-1.0
BABREE_clean,1,3.0
BACGAQ_clean,1,1.0
BACMOH10_clean,0,-1.0
BACMOH_clean,2,1.0
BADHIA_clean,0,-1.0
BADHOG_clean,0,-1.0
BADHUM01_clean,0,-1.0
BADHUM_clean,0,-1.0
BADJAU_clean,0,-1.0
BADJIC_clean,0,-1.0
BADXAI_clean,3,1.0
BADYAJ_clean,1,3.0
BAEDTA01_clean,2,1.0
BAFCAP_clean,0,-1.0
BAFHAU_clean,1,3.0
BAFKUR_clean,0,-1.0
BAFVAH_clean,0,-1.0
BAHGUN01_clean,0,-1.0
BAHGUN02_clean,0,-1.0
BAHGUN03_clean,0,-1.0
BAHGUN04_clean,0,-1.0
BAHGUN_clean,0,-1.0
BAHMAZ_clean,2,1.0
BAKFAV_clean,0,-1.0
BAKGAX_clean,2,1.0
BAKGIF_clean5b,1,1.0
BAKGIF_clean,1,1.0
BAKGIF_manual,1,1.0
BAKJEE_clean,1,3.0
BAKJII_clean,1,3.0
BAKJOO_clean,1,2.0
BAKLIK_clean,0,-1.0
BAKYIY_clean,2,1.0
BAKYOE_clean,2,1.0
BALMUW01_clean,0,-1.0
BALMUW_clean,0,-1.0
BAMKIM_clean,2,1.0
BAMKOS_clean,2,1.0
BANMAG_clean,1,1.0
BAPDAA_clean,3,1.0
BAPVEW_clean,0,-1.0
BAQWEY_clean,1,2.0
BAQWIC_clean,1,2.0
BAQWOI_clean,0,-1.0
BARZAW_clean,0,-1.0
BARZIE_clean,0,-1.0
BARZOK_clean,0,-1.0
BARZOL_charged,0,-1.0
BARZUR_clean,3,1.0
BASJUB_clean,1,3.0
BASSOF_clean,0,-1.0
BASSUL_clean,0,-1.0
BASTAS_clean,0,-1.0
BASTEW_clean,0,-1.0
BASTIA_clean,0,-1.0
BASTUM_clean,0,-1.0
BAWRUO_clean,1,1.0
BAXFIR01_clean,0,-1.0
BAXFIR02_clean,2,1.0
BAXFUD_clean,2,1.0
BAXGAK_clean,0,-1.0
BAXLOD_clean,1,1.0
BAXREY_clean,2,1.0
BAXSIE_clean,2,1.0
BAYCOU_clean,0,-1.0
BAZDAJ_charged,0,-1.0
BAZDAJ_clean,0,-1.0
BAZJET_clean,1,3.0
BAZJIX_clean,1,3.0
BEFGEA_clean5b,1,3.0
BEFGEA_manual,1,3.0
BEFKUU_clean,1,3.0
BEFLAB01_clean,0,-1.0
BEFLEF_clean,0,-1.0
BEFLIJ_clean,0,-1.0
BEFLUV_clean,2,1.0
BEFMAC_clean,4,1.0
BEFMOQ_clean,0,-1.0
BEFMUW_clean,0,-1.0
BEFNAD_clean,0,-1.0
BEFNEH_clean,2,1.0
BEFNIL_clean,0,-1.0
BEFNOR_clean,0,-1.0
BEFNUX_clean,0,-1.0
BEFPAF_clean,1,3.0
BEGBOG_clean,0,-1.0
BEGDEY_clean,1,3.0
BEJZAS_clean,1,3.0
BEKSAM_clean,2,1.0
BEKYOG_clean,1,1.0
BEKYUM_clean,2,1.0
BEKZEX01_clean,0,-1.0
BEKZEX_clean,0,-1.0
BELJIL_clean,1,1.0
BELTOD_clean,4,1.0
BELTUJ_clean,4,1.0
BELVAR_charged,2,1.0
BELVEV_charged,1,3.0
BELYIC_clean,0,-1.0
BENXOJ,2,1.0
BENXUP_clean,1,1.0
BENZOL_clean,1,2.0
BENZUR_clean,1,2.0
BEPBAB_clean,1,2.0
BEPLUF_clean,1,1.0
BEPMAM_clean,1,1.0
BEPMEQ_clean,1,1.0
BEPMIU_clean,1,1.0
BEPNER_clean,0,-1.0
BEPNIV_clean,1,1.0
BEPNOB_clean,1,1.0
BEPNUH_clean,1,1.0
BEPPAP_clean,1,1.0
BEPPIX_clean,1,1.0
BEPPOD_clean,1,1.0
BEPREV01_clean,1,3.0
BEPREV02_clean,1,3.0
BEPREV03_clean,1,3.0
BEPREV_clean,1,3.0
BEPRIZ_clean,1,3.0
BEPROF_clean,1,3.0
BEPVAV_clean,1,1.0
BEPVEZ_clean,1,1.0
BEPVID_clean,1,1.0
BEPVOJ01_clean,1,1.0
BEPVOJ_clean,1,1.0
BEPWEA_clean,1,1.0
BEPYIG_clean,1,1.0
BEQFEK_clean,2,1.0
BERFIP_clean,0,-1.0
BERGAI_clean,0,-1.0
BERQIA_clean,8,1.0
BETDAH_clean,1,3.0
BETDEL_clean,1,3.0
BETDIP_clean,1,3.0
BETDOV_clean,1,3.0
BETDUB_clean,1,3.0
BETFAJ_clean,1,3.0
BETFEN_clean,1,3.0
BETFIR_clean,2,1.0
BETFOX_clean,1,3.0
BETFUD_clean,1,3.0
BETGAK_clean,1,3.0
BETGEO_clean,1,3.0
BETGIS_clean,1,3.0
BETGOY_clean,1,3.0
BETGUE_clean,1,3.0
BETHEP_clean,1,3.0
BETHIT_clean,1,3.0
BETZOR_clean,1,2.0
BEVQID_clean,0,-1.0
BEVQUP_clean,0,-1.0
BEVRAW_clean,0,-1.0
BEVWAB_clean,2,1.0
BEWRUR_clean,1,3.0
BEWSAY_clean,1,3.0
BEWVEG_clean,1,2.0
BEWVOQ_clean,1,3.0
BEWWEH_clean,1,3.0
BEXPAX_clean,1,3.0
BEXQIF_clean,1,3.0
BEXQOL_clean,1,3.0
BEXQUR_clean,1,3.0
BEXRAY_clean,1,3.0
BEXREC_clean,1,3.0
BEXRIG_clean,1,3.0
BEXRUT_clean,2,1.0
BEXSAA_clean,2,2.0
BEXSEE_clean,2,1.0
BEXSII_clean,1,3.0
BEXTUV_clean,1,1.0
BEXVAD01_clean,2,1.0
BEXVAD_clean,2,1.0
BEXVEH_clean,1,3.0
BEXVIL_clean,1,3.0
BEYKEX_clean,2,2.0
BEYSEF_clean,1,3.0
BEZDUH_clean,0,-1.0
BEZSIK_clean,1,2.0
BIBBUL_clean,0,-1.0
BIBMAC_clean,1,1.0
BIBMEG_clean,0,-1.0
BIBMIK_clean,0,-1.0
BIBXOB_clean,1,3.0
BIBXUH_clean,1,3.0
BIBYAO_clean,1,3.0
BICDAU_clean,1,3.0
BICPOT_clean,2,1.0
BICPUA_clean,1,3.0
BIDPOV_clean,1,3.0
BIFGOO_clean,1,1.0
BIFKEI_clean,1,3.0
BIHBEB_clean,1,3.0
BIHMUC_clean,0,-1.0
BIHRER_clean,0,-1.0
BIJDUV_clean,1,3.0
BIJFAD_clean,1,3.0
BIJJOV_clean,0,-1.0
BIMDEF_clean,1,3.0
BIMDIL_clean,1,3.0
BIMDOR_charged,3,1.0
BINCUY_clean_b,1,3.0
BINCUY_manual,1,3.0
BINDAF_clean_b,1,3.0
BINDAF_manual,1,3.0
BINMIW_clean,4,1.0
BIPBAF_clean,1,3.0
BIPKIW_clean,0,-1.0
BIPLIX_clean,1,2.0
BIQFOW_clean,0,-1.0
BIQHEQ_clean,4,1.0
BIQRIE_clean,0,-1.0
BIQVII_clean,1,1.0
BIRGIU_clean,1,3.0
BIRLIZ_clean,0,-1.0
BIRMUM_clean,2,1.0
BIRSEC_clean,1,2.0
BIRSIG_clean,1,2.0
BIVXEK_clean,0,-1.0
BIWHAQ_clean,0,-1.0
BIWSIK_ion_b,1,3.0
BIWYAH10_clean,1,3.0
BIXXIR_clean,2,2.0
BIXYEO_clean,2,2.0
BIYSUZ_clean,2,1.0
BIYTAG_clean,2,1.0
BIYTEJ,1,1.0
BIYTOU_clean,2,2.0
BIYVEM_clean,2,1.0
BIYVIQ_clean,2,1.0
BIYXUE_charged,1,3.0
BIYYAL_charged,1,3.0
BIYYEP_charged,1,3.0
BIZLUT_clean,1,3.0
BIZMAA_clean,1,3.0
BIZMEE_clean,1,3.0
BIZMII_clean,1,3.0
BOCKOT_clean,1,3.0
BOCTEU01_clean,0,-1.0
BOCTOE01_clean,0,-1.0
BOCTOE02_clean,0,-1.0
BOCTOE03_clean,0,-1.0
BOCTOE04_clean,0,-1.0
BOCTOE05_clean,0,-1.0
BOCTOE_clean,0,-1.0
BOFCEG_clean,0,-1.0
BOHGOU_clean,0,-1.0
BOHJOZ_auto,1,2.0
BOHWOM_clean,1,3.0
BOHXIH_clean,0,-1.0
