Structures,solvent_removed,framework_count,framework_mean_dim,atoms_count,C%,H%,O%,N%,halogen%,metalloid%,ametal%,metal%,radioactive%,M/C,M/O
LIVLUZ_clean,1,1,3.0,3644.0,61.251372118551046,1.3172338090010978,13.611416026344676,20.417124039517013,0.0,0.0,0.0,3.402854006586169,0.0,0.05555555555555555,0.25
LIVREP_clean,1,1,3.0,2636.0,75.26555386949924,1.2139605462822458,18.81638846737481,0.0,0.0,0.0,0.0,4.704097116843703,0.0,0.0625,0.25
LIVTEP_charged,0,1,3.0,1368.0,45.32163742690058,0.29239766081871343,0.0,18.128654970760234,27.19298245614035,0.0,4.5321637426900585,4.5321637426900585,0.0,0.1,inf
LIVTEP_clean,0,1,3.0,1368.0,45.32163742690058,0.29239766081871343,0.0,18.128654970760234,27.19298245614035,0.0,4.5321637426900585,4.5321637426900585,0.0,0.1,inf
LIVTIT_clean,1,1,3.0,5720.0,71.32867132867133,0.0,0.0,28.531468531468533,0.0,0.0,0.0,0.13986013986013987,0.0,0.00196078431372549,inf
LIVWAQ_clean,1,1,3.0,2372.0,0.0,0.6745362563237775,62.7318718381113,0.0,0.0,0.0,20.910623946037102,15.682967959527826,0.0,inf,0.25
LIWFIG_clean,1,1,3.0,3578.0,0.0,0.0,79.82112912241476,0.0,0.0,0.0,19.95528228060369,0.22358859698155395,0.0,inf,0.0028011204481792717
LIWFOM_clean,1,1,3.0,1682.0,7.37217598097503,0.4756242568370987,58.97740784780024,0.0,0.0,0.0,14.74435196195006,18.430439952437574,0.0,2.5,0.3125
LIWFUS_clean,1,1,3.0,814.0,15.233415233415235,0.9828009828009828,53.31695331695332,0.0,0.0,0.0,15.233415233415235,15.233415233415235,0.0,1.0,0.28571428571428575
LIWVIY_clean,1,1,3.0,1822.0,54.445664105378704,1.3172338090010978,0.0,27.222832052689352,0.0,0.0,6.805708013172338,10.208562019758507,0.0,0.1875,inf
LIWXIZ_clean,1,1,3.0,2892.0,66.45919778699862,1.3831258644536653,19.294605809128633,8.575380359612724,0.0,0.0,0.0,4.287690179806362,0.0,0.06451612903225806,0.22222222222222218
LIWXOG_clean,1,1,3.0,3644.0,54.445664105378704,1.3172338090010978,0.0,27.222832052689352,0.0,0.0,6.805708013172338,10.208562019758507,0.0,0.1875,inf
LIXDAZ_clean,1,1,3.0,3760.0,69.25531914893617,1.0638297872340425,26.382978723404257,0.0,0.0,0.0,0.0,3.297872340425532,0.0,0.04761904761904762,0.125
LIXMIQ_clean,1,1,3.0,3826.0,68.06063774176685,1.150026136957658,27.548353371667535,0.0,0.0,0.0,0.0,3.2409827496079453,0.0,0.047619047619047616,0.11764705882352941
LIXNIP_clean,1,1,3.0,884.0,70.13574660633485,0.0,1.8099547511312217,14.027149321266968,0.0,0.0,0.0,14.027149321266968,0.0,0.19999999999999998,7.75
LIXWAR01_clean,1,1,3.0,4098.0,54.465592972181554,27.232796486090777,18.155197657393852,0.0,0.0,0.0,0.0,0.14641288433382138,0.0,0.0026881720430107525,0.008064516129032258
LIXWAR_clean,1,1,3.0,4098.0,54.465592972181554,27.232796486090777,18.155197657393852,0.0,0.0,0.0,0.0,0.14641288433382138,0.0,0.0026881720430107525,0.008064516129032258
LIXWEV_clean,1,1,3.0,6952.0,0.0,17.60644418872267,61.622554660529346,0.0,0.0,0.0,20.540851553509782,0.23014959723820483,0.0,inf,0.0037348272642390287
LIXXAS_clean,1,1,3.0,1382.0,53.83502170767004,1.3024602026049203,26.91751085383502,13.45875542691751,0.0,0.0,0.0,4.486251808972503,0.0,0.08333333333333334,0.16666666666666669
LIXXEW_clean,1,1,3.0,2266.0,54.721977052074145,1.5004413062665491,24.624889673433366,16.41659311562224,0.0,0.0,0.0,2.7360988526037073,0.0,0.05,0.11111111111111112
LOBHAM_clean,1,1,3.0,5090.0,36.54223968565815,31.66994106090373,17.05304518664047,14.61689587426326,0.0,0.0,0.0,0.11787819253438114,0.0,0.0032258064516129032,0.0069124423963133645
LOCNIB_clean,1,1,3.0,2278.0,51.71202809482001,2.019315188762072,27.216856892010533,16.33011413520632,0.0,0.0,0.0,2.7216856892010535,0.0,0.052631578947368425,0.1
LOCRUR_clean,1,1,3.0,3380.0,95.38461538461537,0.0,0.9467455621301775,0.0,0.0,0.0,0.0,3.6686390532544375,0.0,0.038461538461538464,3.875
LOCZIO_clean,1,1,3.0,13064.0,46.84629516227802,28.10777709736681,12.49234537660747,6.246172688303735,0.0,0.0,6.246172688303735,0.0612369871402327,0.0,0.00130718954248366,0.004901960784313725
LODCUC_clean,1,1,3.0,11840.0,34.45945945945946,48.24324324324325,0.0,17.22972972972973,0.0,0.0,0.0,0.06756756756756757,0.0,0.00196078431372549,inf
LODKIA_clean,1,1,3.0,3884.0,70.2368692070031,1.0298661174047374,25.540679711637488,0.0,0.0,0.0,0.0,3.192584963954686,0.0,0.04545454545454545,0.125
LODPOK_clean,1,2,3.0,19612.0,53.11034060779115,25.29063838466245,0.0,21.497042626963083,0.0,0.0,0.0,0.10197838058331633,0.0,0.0019201228878648231,inf
LODPUQ_clean,1,2,3.0,19612.0,53.11034060779115,25.29063838466245,0.0,21.497042626963083,0.0,0.0,0.0,0.10197838058331633,0.0,0.0019201228878648231,inf
LODPUR_clean,1,1,3.0,1954.0,69.80552712384852,1.6376663254861823,6.345957011258957,19.03787103377687,0.0,0.0,0.0,3.1729785056294784,0.0,0.045454545454545456,0.5
LODTAB_clean,1,1,3.0,5752.0,60.36161335187761,0.8344923504867872,17.2461752433936,17.2461752433936,0.0,0.0,0.0,4.3115438108484,0.0,0.07142857142857142,0.25
LOFCUF_clean,1,1,3.0,17988.0,33.08872581721147,33.77807427173671,11.718923726929063,16.544362908605734,0.0,0.0,1.378696909050478,3.4912163664665328,0.0,0.10551075268817205,0.29791271347248577
LOFJAT_clean,1,1,3.0,9408.0,75.12755102040816,1.1479591836734693,19.770408163265305,0.0,0.0,0.0,0.0,3.954081632653061,0.0,0.05263157894736842,0.2
LOFVIN_clean,1,2,3.0,28168.0,49.24737290542459,30.417495029821072,11.58761715421755,8.690712865663164,0.0,0.0,0.0,0.05680204487361545,0.0,0.0011534025374855825,0.004901960784313725
LOFVUY01_clean,1,2,3.0,9840.0,55.447154471544714,1.7073170731707317,26.46341463414634,7.560975609756097,0.0,0.0,0.0,8.821138211382113,0.0,0.1590909090909091,0.3333333333333333
LOFVUY_clean,1,2,3.0,9840.0,55.447154471544714,1.7073170731707317,26.46341463414634,7.560975609756097,0.0,0.0,0.0,8.821138211382113,0.0,0.1590909090909091,0.3333333333333333
LOFZUB_clean,1,1,3.0,2544.0,0.0,0.0,3.7735849056603774,0.0,0.0,0.0,48.11320754716981,48.11320754716981,0.0,inf,12.749999999999998
LOGBAK_clean,1,1,3.0,2544.0,0.0,0.0,3.7735849056603774,0.0,0.0,0.0,48.11320754716981,48.11320754716981,0.0,inf,12.749999999999998
LOGBEO_clean,1,1,3.0,1584.0,0.0,0.0,6.0606060606060606,0.0,0.0,0.0,46.969696969696976,46.969696969696976,0.0,inf,7.750000000000001
LOJFOF_clean,1,1,3.0,12752.0,76.78795483061481,0.8155583437892095,12.797992471769135,6.398996235884567,0.0,0.0,0.0,3.1994981179422837,0.0,0.041666666666666664,0.25
LOJFUL_clean,1,1,3.0,4264.0,77.06378986866791,1.125703564727955,11.632270168855534,7.270168855534709,0.0,0.0,0.0,2.9080675422138835,0.0,0.03773584905660377,0.25
LOJLAZ01_clean,1,1,3.0,7348.0,44.42025040827436,22.21012520413718,0.0,27.762656505171478,0.0,0.0,0.0,5.606967882416985,0.0,0.12622549019607843,inf
LOJLAZ_clean,1,1,3.0,7348.0,44.42025040827436,22.21012520413718,0.0,27.762656505171478,0.0,0.0,0.0,5.606967882416985,0.0,0.12622549019607843,inf
LOJNAA_clean,1,1,3.0,17988.0,33.08872581721147,33.77807427173671,11.718923726929063,16.544362908605734,0.0,0.0,1.378696909050478,3.4912163664665328,0.0,0.10551075268817205,0.29791271347248577
LOKPEG_clean,1,1,3.0,848.0,0.0,0.0,3.7735849056603774,0.0,0.0,0.0,48.113207547169814,48.113207547169814,0.0,inf,12.75
LOLQIM_clean,1,1,3.0,1060.0,0.0,0.5660377358490567,70.18867924528303,0.0,0.0,5.849056603773585,17.547169811320757,5.849056603773585,0.0,inf,0.08333333333333333
LOLREL_clean,1,1,3.0,24290.0,58.36969946480033,0.4775627830382873,36.11362700699876,0.0,0.0,0.0,0.0,5.039110745162618,0.0,0.08633093525179855,0.13953488372093023
LOLVAJ_clean,1,2,3.0,16128.0,61.507936507936506,1.5873015873015872,0.0,12.3015873015873,6.15079365079365,0.0,12.3015873015873,6.15079365079365,0.0,0.09999999999999999,inf
LOMLOQ_clean,1,1,3.0,3924.0,0.0,0.4587155963302752,42.66055045871559,0.0,28.44036697247706,0.0,14.22018348623853,14.22018348623853,0.0,inf,0.33333333333333337
LOMLUV_clean,1,1,3.0,6152.0,0.0,0.5201560468140443,66.31989596879065,0.0,0.0,0.0,19.89596879063719,13.263979193758129,0.0,inf,0.19999999999999998
LOMLUW_clean,1,1,3.0,6444.0,0.0,0.27932960893854747,42.737430167597765,0.0,28.49162011173184,0.0,14.24581005586592,14.24581005586592,0.0,inf,0.3333333333333333
LOMMEH_clean,1,1,3.0,15800.0,65.92405063291139,1.1139240506329113,23.544303797468356,6.2784810126582276,0.0,0.0,0.0,3.1392405063291138,0.0,0.047619047619047616,0.13333333333333333
LOMMIL_clean,1,1,3.0,15800.0,65.92405063291139,1.1139240506329113,23.544303797468356,6.2784810126582276,0.0,0.0,0.0,3.1392405063291138,0.0,0.047619047619047616,0.13333333333333333
LOMMOR_clean,1,1,3.0,15800.0,65.92405063291139,1.1139240506329113,23.544303797468356,6.2784810126582276,0.0,0.0,0.0,3.1392405063291138,0.0,0.047619047619047616,0.13333333333333333
LONVAN_clean,1,1,3.0,7362.0,37.408312958435204,12.469437652811736,0.0,37.408312958435204,12.469437652811736,0.0,0.0,0.24449877750611246,0.0,0.006535947712418301,inf
LONVIV_clean,1,1,3.0,7362.0,37.408312958435204,12.469437652811736,0.0,37.408312958435204,12.469437652811736,0.0,0.0,0.24449877750611246,0.0,0.006535947712418301,inf
LONWIW_clean,1,1,3.0,5628.0,52.878464818763334,0.8528784648187634,39.6588486140725,0.0,0.0,0.0,0.0,6.609808102345417,0.0,0.125,0.16666666666666669
LOPZAS_clean,1,1,3.0,74060.0,41.317850391574396,51.234134485552254,6.610856062651904,0.0,0.0,0.0,0.0,0.837159060221442,0.0,0.020261437908496733,0.12663398692810457
LOQLEJ_manual,1,1,3.0,4314.0,56.745479833101534,0.6954102920723227,35.46592489568846,0.0,0.0,0.0,0.0,7.093184979137692,0.0,0.125,0.19999999999999998
LOQLIN_SL,1,1,3.0,4312.0,56.77179962894248,0.6493506493506493,35.48237476808905,0.0,0.0,0.0,0.0,7.09647495361781,0.0,0.125,0.19999999999999998
LOQLIN_clean,1,1,3.0,4308.0,56.824512534818936,0.5571030640668524,35.51532033426184,0.0,0.0,0.0,0.0,7.103064066852367,0.0,0.125,0.19999999999999998
LOQSEQ_clean,1,1,3.0,17138.0,66.20375773135721,1.9605554907223715,21.706150075854826,8.68246003034193,0.0,0.0,0.0,1.4470766717236552,0.0,0.021857923497267763,0.06666666666666668
LOQSIU_clean,1,3,1.0,12516.0,66.87440076701822,1.9175455417066154,22.291466922339403,7.430488974113135,0.0,0.0,0.0,1.4860977948226268,0.0,0.02222222222222222,0.06666666666666667
LOQSOA_clean,1,1,3.0,17138.0,66.20375773135721,1.9605554907223715,21.706150075854826,8.68246003034193,0.0,0.0,0.0,1.4470766717236552,0.0,0.021857923497267763,0.06666666666666668
LOQSUG_clean,1,1,3.0,17138.0,66.20375773135721,1.9605554907223715,21.706150075854826,8.68246003034193,0.0,0.0,0.0,1.4470766717236552,0.0,0.021857923497267763,0.06666666666666668
LORKEK_clean,1,1,3.0,5336.0,61.169415292353825,0.5997001499250375,30.584707646176913,0.0,0.0,0.0,0.0,7.646176911544228,0.0,0.125,0.25
LORMOW_clean,1,1,3.0,3115.0,71.65329052969501,1.4767255216693418,17.913322632423753,3.9807383627608344,0.0,0.0,0.0,4.975922953451043,0.0,0.06944444444444445,0.2777777777777778
LORNEL_clean,1,1,3.0,1230.0,87.07317073170732,0.0,0.0,12.439024390243903,0.0,0.0,0.0,0.4878048780487805,0.0,0.005602240896358543,inf
LORROB_clean,1,1,3.0,20172.0,73.82510410469959,0.8923259964306961,16.180844735276622,6.067816775728733,0.0,0.0,0.0,3.0339083878643667,0.0,0.0410958904109589,0.1875
LORRUH_clean,1,1,3.0,12324.0,73.45017851346965,1.3956507627393704,16.098669263226224,6.0370009737098345,0.0,0.0,0.0,3.0185004868549172,0.0,0.0410958904109589,0.1875
LOSBOM_clean,1,1,3.0,4252.0,69.99059266227657,0.8466603951081844,23.33019755409219,0.0,0.0,0.0,0.0,5.832549388523048,0.0,0.08333333333333334,0.25
LOSXIC_clean,1,1,3.0,2349.0,63.346104725415074,0.0,1.0217113665389528,31.673052362707537,0.0,0.0,0.0,3.959131545338442,0.0,0.0625,3.875
LOSYAV_clean,1,1,3.0,1694.0,51.239669421487605,1.1806375442739079,32.93978748524203,0.0,0.0,0.0,7.31995277449823,7.31995277449823,0.0,0.14285714285714288,0.22222222222222227
LOTDIJ_clean,1,1,3.0,15132.0,44.25059476605868,45.88950568332012,1.6389109172614327,6.555643669045731,0.0,0.0,1.6389109172614327,0.026434047052603753,0.0,0.0005973715651135006,0.016129032258064516
LOVLEP_clean,1,1,3.0,21722.0,43.384587054599024,2.0992542123193076,13.129546082312862,32.53844029094927,0.0,0.0,0.5708498296657766,8.27732253015376,0.0,0.1907894736842105,0.6304347826086957
LOVNIV_charged,0,1,3.0,11552.0,51.523545706371195,1.2465373961218837,32.202216066481995,8.587257617728532,0.0,0.0,0.0,2.146814404432133,4.293628808864266,0.041666666666666664,0.06666666666666667
LOWPUI_clean,1,1,2.0,878.0,56.49202733485193,1.1389521640091116,28.246013667425967,7.061503416856492,0.0,0.0,0.0,7.061503416856492,0.0,0.125,0.25
LOWPUI_clean5b,1,2,2.0,7024.0,56.49202733485193,1.1389521640091116,28.246013667425967,7.061503416856492,0.0,0.0,0.0,7.061503416856492,0.0,0.125,0.25
LOWQIX_clean,1,1,2.0,3690.0,53.766937669376695,0.8672086720867209,33.60433604336043,0.0,0.0,0.0,0.0,11.761517615176153,0.0,0.21875000000000003,0.35000000000000003
LOXKAM_clean,1,1,3.0,11492.0,83.0838844413505,1.8099547511312217,6.474068917507831,6.474068917507831,0.0,0.0,0.0,2.1580229725026103,0.0,0.025974025974025972,0.3333333333333333
LOXVUR_clean,1,1,3.0,5056.0,63.76582278481013,1.89873417721519,19.620253164556964,9.810126582278482,0.0,0.0,0.0,4.905063291139241,0.0,0.07692307692307693,0.25
LOXWAY_clean,1,1,3.0,2152.0,63.38289962825279,2.044609665427509,23.048327137546465,5.762081784386616,0.0,0.0,0.0,5.762081784386616,0.0,0.0909090909090909,0.25
LOXWEC_clean,1,1,3.0,2276.0,59.929701230228474,1.9332161687170475,21.79261862917399,10.896309314586995,0.0,0.0,0.0,5.448154657293498,0.0,0.09090909090909091,0.25
LOZSAW01_clean,1,1,3.0,1992.0,46.08433734939759,0.0,0.0,46.08433734939759,0.0,0.0,0.0,7.831325301204819,0.0,0.1699346405228758,inf
LOZSAW02_clean,1,1,3.0,2656.0,46.08433734939759,0.0,0.0,46.08433734939759,0.0,0.0,0.0,7.83132530120482,0.0,0.16993464052287582,inf
LOZSAW_clean,1,1,3.0,1992.0,46.08433734939759,0.0,0.0,46.08433734939759,0.0,0.0,0.0,7.831325301204819,0.0,0.1699346405228758,inf
LOZSOK_clean,1,1,3.0,9948.0,74.78890229191798,1.527945315641335,21.190188982710094,0.0,0.0,0.0,0.0,2.4929634097305993,0.0,0.03333333333333333,0.11764705882352941
LOZSUQ_clean,1,1,3.0,9948.0,74.78890229191798,1.527945315641335,21.190188982710094,0.0,0.0,0.0,0.0,2.4929634097305993,0.0,0.03333333333333333,0.11764705882352941
LUBMAW_clean,1,1,3.0,5916.0,62.88032454361055,1.4874915483434754,27.24814063556457,2.0960108181203516,0.0,0.0,4.192021636240703,2.0960108181203516,0.0,0.03333333333333333,0.07692307692307693
LUBNAZ_clean,1,1,3.0,4720.0,47.28813559322034,15.762711864406779,34.152542372881356,0.0,0.0,0.0,0.0,2.796610169491525,0.0,0.05913978494623655,0.08188585607940446
LUCDAO_clean,1,1,3.0,1568.0,71.1734693877551,1.1479591836734695,23.72448979591837,0.0,0.0,0.0,0.0,3.9540816326530615,0.0,0.05555555555555556,0.16666666666666666
LUCDES_clean,1,1,3.0,1568.0,71.1734693877551,1.1479591836734695,23.72448979591837,0.0,0.0,0.0,0.0,3.9540816326530615,0.0,0.05555555555555556,0.16666666666666666
LUCDIW_clean,1,1,3.0,1568.0,71.1734693877551,1.1479591836734695,23.72448979591837,0.0,0.0,0.0,0.0,3.9540816326530615,0.0,0.05555555555555556,0.16666666666666666
LUCKAX_clean,1,1,3.0,3712.0,60.45258620689655,1.0775862068965516,27.478448275862068,5.495689655172414,0.0,0.0,0.0,5.495689655172414,0.0,0.09090909090909091,0.2
LUCKEB_clean,1,1,3.0,5136.0,62.772585669781925,1.0124610591900312,28.971962616822427,4.8286604361370715,0.0,0.0,0.0,2.4143302180685358,0.0,0.038461538461538464,0.08333333333333334
LUCKIF_clean,1,1,3.0,5136.0,62.772585669781925,1.0124610591900312,28.971962616822427,4.8286604361370715,0.0,0.0,0.0,2.4143302180685358,0.0,0.038461538461538464,0.08333333333333334
LUDCUK_clean,1,1,3.0,3396.0,60.24734982332156,1.4134275618374559,32.86219081272085,0.0,0.0,0.0,0.0,5.477031802120141,0.0,0.0909090909090909,0.16666666666666666
LUDKIG_clean,1,1,3.0,4182.0,57.819225251076034,2.152080344332855,31.133428981348636,4.4476327116212335,0.0,0.0,0.0,4.4476327116212335,0.0,0.07692307692307693,0.14285714285714285
LUDKOM_clean,1,1,3.0,3396.0,60.24734982332156,1.4134275618374559,32.86219081272085,0.0,0.0,0.0,0.0,5.477031802120141,0.0,0.0909090909090909,0.16666666666666666
LUDKUS_clean,1,1,3.0,3396.0,60.24734982332156,1.4134275618374559,32.86219081272085,0.0,0.0,0.0,0.0,5.477031802120141,0.0,0.0909090909090909,0.16666666666666666
LUDLAZ_clean,1,1,3.0,3402.0,60.1410934744268,1.5873015873015872,32.804232804232804,0.0,0.0,0.0,0.0,5.467372134038801,0.0,0.09090909090909091,0.16666666666666666
LUDLED_clean,1,1,3.0,16464.0,54.227405247813415,0.5830903790087464,36.15160349854228,0.0,0.0,0.0,0.0,9.03790087463557,0.0,0.16666666666666669,0.25
LUDLIH_clean,1,1,3.0,16464.0,54.227405247813415,0.5830903790087464,36.15160349854228,0.0,0.0,0.0,0.0,9.03790087463557,0.0,0.16666666666666669,0.25
LUDRUZ_clean,1,1,3.0,4470.0,68.45637583892618,1.8791946308724834,0.0,27.38255033557047,0.0,0.0,0.0,2.2818791946308727,0.0,0.03333333333333333,inf
