Structures,ASA_m2/cm3,NASA_m2/cm3,SA_m2/cm3
ANONAT_manual,2195.37,0.0,2195.37
ANUGEW_clean,2027.48,0.0,2027.48
ANUGIA_clean,2087.5,0.0,2087.5
ANUGOG_clean,2357.09,0.0,2357.09
ANUGUM_clean,2352.75,0.0,2352.75
APACAX_clean,1049.26,0.0,1049.26
APARAM_clean,949.751,50.6674,1000.4184
APAYIB_clean,1719.7,0.0,1719.7
APAYOH_clean,1825.43,0.0,1825.43
APAYUN_clean,1642.25,0.0,1642.25
APAZAU_clean,2075.99,0.0,2075.99
APAZEY_clean,2088.29,0.0,2088.29
APAZIC_clean,2102.75,0.0,2102.75
APAZOI_clean,1603.63,0.0,1603.63
APEBED_clean,0.0,249.484,249.484
APEBEE_clean,1014.09,0.0,1014.09
APEBII_clean,1515.29,0.0,1515.29
APEBOO_clean,1742.65,0.0,1742.65
APEBUU_clean,0.0,621.011,621.011
APETAS_clean,0.0,34.1186,34.1186
AQAJEI_clean,0.0,883.225,883.225
AQALIO_clean,0.0,0.0,0.0
AQALOU_clean,0.0,0.0,0.0
AQEFOS_clean,0.0,650.003,650.003
AQEFUY_clean,0.0,1151.3,1151.3
AQEGUY_clean,1069.06,0.0,1069.06
AQEQES_clean,1539.02,0.0,1539.02
AQEQIW_clean,1500.38,0.0,1500.38
AQERUL_clean,0.0,412.048,412.048
AQETIA_clean,0.0,20.7832,20.7832
AQETUM_clean,0.0,692.28,692.28
AQIQAU_clean,1811.83,0.0,1811.83
AQIQIC_clean,0.0,823.754,823.754
AQIXUU_clean,0.0,233.033,233.033
AQIXUV_clean,1004.62,0.0,1004.62
AQMAND01_clean,0.0,0.0,0.0
AQMAND_clean,0.0,0.0,0.0
AQODOA_clean,0.0,0.0,0.0
AQOLEZ_clean,1244.8,403.078,1647.878
AQOLOJ_clean,1233.55,362.41,1595.96
AQOMAW_clean,1302.75,382.89,1685.6399999999999
AQOSEG_clean,0.0,1147.43,1147.43
AQOTIK_clean,1093.87,0.0,1093.87
AQUCOF_clean,1667.87,0.0,1667.87
AQUCOG_clean,1496.59,0.0,1496.59
AQUCUM_clean,1490.39,0.0,1490.39
AQUDAS_clean,1706.12,0.0,1706.12
AQUDAT_clean,0.0,2.70209,2.70209
AQUDEX_clean,0.0,23.0405,23.0405
AQUDIB_clean,1494.63,0.0,1494.63
AQUDOH_clean,0.0,28.8703,28.8703
ARADEE_clean,2085.31,2.05647,2087.36647
ARAFEF_clean,1632.0,0.0,1632.0
ARAFIJ_clean,1544.43,0.0,1544.43
ARAFOP_clean,814.103,0.0,814.103
ARAGOR_clean,1168.16,0.0,1168.16
ARAHIM01_clean,0.0,0.0,0.0
ARAHIM02_clean,0.0,0.0,0.0
ARAHIM_clean,0.0,0.0,0.0
ARIBOS_clean,0.0,0.0,0.0
ARINOF_clean,0.0,177.741,177.741
ARINUL_clean,0.0,206.605,206.605
AROFAP_clean,1183.54,0.0,1183.54
AROFET_clean,2013.28,0.0,2013.28
ARUCOH01_clean,0.0,574.239,574.239
ARUCUN_clean,0.0,557.43,557.43
ARUDAU_clean,0.0,576.102,576.102
ARUJED_clean,0.0,34.3907,34.3907
ARUYES,0.0,0.0,0.0
ARUYES_clean,1269.49,0.0,1269.49
ARUYOB_clean,0.0,727.819,727.819
ARUYUH01_clean,999.387,0.0,999.387
ARUYUH_clean,315.104,341.475,656.579
ASACON_clean,832.61,0.0,832.61
ASADAA_clean,1044.18,0.0,1044.18
ASAHEJ_clean,1394.94,0.0,1394.94
ASAJOU_clean,0.0,417.464,417.464
ASALAH_clean,0.0,112.162,112.162
ASALIP_clean,0.0,20.8013,20.8013
ASALOV_clean,0.0,180.327,180.327
ASAMUE_clean,0.0,302.437,302.437
ASANAL_clean,235.716,233.556,469.27200000000005
ASECUY_clean,1021.34,0.0,1021.34
ASEJOZ01_clean,395.13,0.0,395.13
ASEJOZ_clean,406.177,0.0,406.177
ASEKAM_clean,1188.93,0.0,1188.93
ASEXED_clean,1215.26,0.398412,1215.658412
ASINAT_clean,1743.28,0.0,1743.28
ASIQEA_clean,1346.37,0.0,1346.37
ASIQIE_clean,1345.3,0.0,1345.3
ASIRUR_clean,0.0,0.0,0.0
ASOHUL_clean,1426.2,0.0,1426.2
ASOSUY_clean,1909.03,0.765321,1909.795321
ASOVEL_clean,853.235,0.0,853.235
ASOYOY_clean,1879.29,0.0,1879.29
ASUBIB_clean,1330.69,0.0,1330.69
ASUJIJ_clean,0.0,130.415,130.415
ASUKEE01_clean,0.0,156.409,156.409
ASUKEE_clean,0.0,158.875,158.875
ASUWUI_clean,867.043,0.0,867.043
ATAFIK_clean,1803.43,0.0,1803.43
ATAYAX_clean,2122.6,0.0,2122.6
ATAYEB_clean,2067.04,0.0,2067.04
ATEJOA_clean,290.079,21.3554,311.4344
ATEXII_clean,0.0,139.969,139.969
ATEYED_clean,3036.89,0.0,3036.89
