Structures,oms_count
BUCYAA_clean,0
BUDDIO_clean,0
BUFPIC_clean,18
BUGSAY_clean,0
BUGSEC_clean,0
BUGSIG_clean,0
BUGSOM_clean,0
BUJKEW01_clean,1
BUKMUQ01_clean,4
BUKMUQ_clean,4
BUKRUW01_clean,12
BUKRUW02_clean,0
BUKRUW03_clean,12
BUKYAJ_clean,0
BULBER_clean,0
BUPDOH_clean,18
BUPVEP_clean,0
BUQWER_clean,9
BURHUS_clean,0
BURJOO_clean,0
BURQIQ_clean,14
BUSGIG_clean,4
BUSGOM_clean,4
BUSNAF_clean,0
BUSQEM_clean,0
BUSQIQ_clean,0
BUSQUC_clean,0
BUSRUE_clean,0
BUSSEP_clean,8
BUSTAM_clean,0
BUVHEH_clean,0
BUVKUA_clean,0
BUVVIZ_clean,0
BUVVOF_clean,0
BUVWOF02_clean,0
BUVWOF03_clean,0
BUVXOG_clean,0
BUVYEX_clean,0
BUVYIB01_clean,0
BUVYIB_clean,0
BUWGAC_clean,4
BUWGEG_clean,0
BUWLUC_clean,0
BUWMAJ_clean,0
BUWMEN_clean,0
BUWMIR_clean,0
BUXTOF_clean,16
BUXTUL_clean,8
BUYNAL_charged,0
c4ce00408f_c4ce00408f2_clean,48
c4dt02048k_c4dt02048k2_clean,0
c4dt03702b_c4dt03702b2_clean,0
c4ra13058h_c4ra13058h2_clean,0
c5cc01886b_c5cc01886b2_clean,2
c5cc04223b_c5cc04223b2_clean,0
c5cc06190c_c5cc06190c2_clean,0
c5cc09432a_c5cc09432a2_clean,4
c5cc09935h_c5cc09935h2_clean,0
c5cc10203k_c5cc10203k2_clean,6
c5ce00010f_c5ce00010f2_clean,8
c5ce00677e_c5ce00677e2_clean,4
c5ce00862j_c5ce00862j2_clean,0
c5ce00923e_c5ce00923e2_clean,0
c5ce00931f_c5ce00931f2_clean,0
c5ce01790d_c5ce01790d1_clean,0
c5ce01948f_c5ce01948f2_clean,0
c5ce02194d_c5ce02194d2_clean,0
c5ce02503f_c5ce02503f2_clean,12
c5cp03920g_c5cp03920g2_clean,0
c5dt00281h_c5dt00281h2_clean,0
c5dt01100k_c5dt01100k2_clean,18
c5dt02374b_c5dt02374b2_clean,2
c5dt02651b_c5dt02651b2_clean,0
c5dt03038b_c5dt03038b2_clean,2
c5dt03710g_c5dt03710g2_clean,0
c5dt04943a_c5dt04943a2_clean,18
c5dt05023e_c5dt05023e2_clean,2
c5gc02393a_c5gc02393a2_clean,4
c5nj01930c_c5nj01930c2_clean,0
c5nj02236c_c5nj02236c2_clean,0
c5nj02634b_c5nj02634b2_clean,0
c5nj03044g_c5nj03044g2_clean,0
c5qi00128e_c5qi00128e2_clean,2
c5sc00614g_c5sc00614g2_clean,0
c5sc03494a_c5sc03494a2_clean,0
c5ta03835a_c5ta03835a2_clean,0
c5ta04552e_c5ta04552e2_clean,0
c5ta04989j_c5ta04989j2_clean,0
c5ta05481h_c5ta05481h2_clean,18
c6cc00589f_c6cc00589f2_clean,0
c6cc00589f_c6cc00589f3_clean,8
c6cc00862c_c6cc00862c2_clean,4
c6cc01597b_c6cc01597b2_clean,4
c6cc02494g_c6cc02494g1_clean,0
c6cc02494g_c6cc02494g3_clean,18
c6cc02494g_c6cc02494g4_clean,18
c6cc02494g_c6cc02494g5_clean,18
c6cc02494g_c6cc02494g6_clean,0
c6ce00126b_c6ce00126b2_clean,0
c6ce00141f_c6ce00141f2_clean,0
c6ce00407e_c6ce00407e1_clean,12
c6ce00407e_c6ce00407e2_clean,12
c6ce00407e_c6ce00407e3_clean,12
c6ce00407e_c6ce00407e8_clean,2
c6ce00407e_c6ce00407e9_clean,2
c6ce00465b_c6ce00465b2_clean,0
c6cp03028a_c6cp03028a3_clean,0
c6dt01288d_c6dt01288d2_clean,0
c6dt03852b_c6dt03852b2_clean,0
c6dt04165e_c6dt04165e2_clean,0
c6ra27069g_c6ra27069g2_clean,0
c6ra28728j_c6ra28728j2_clean,4
c6ta07145g_c6ta07145g2_clean,0
CABDER_clean,0
CABJOH_clean,4
CABQEB_clean,0
CACBUG_clean,2
CACNOM_clean,0
CADPIH_clean,0
CADPII_clean,0
CADQAB_clean,0
CADQOP_clean,0
CADZIT_clean,0
CAFRUX_clean,8
CAGSAG_clean,4
CAGXIU_clean,0
CAHLEE_clean,0
CAHNEF_clean,12
CAHQAG_clean,2
CAHQOS_clean,0
CAHSOU_clean,0
CAHVAJ_clean,8
CAJBUN_clean,72
CAJHUS03_clean,0
CAJHUS04_clean,0
CAJHUS_clean,0
CAJLEH_clean,6
CAJQEL_clean,8
CAJQIP_clean,8
CAJVUG_charged,0
CAJWAN_charged,2
CAJWER_charged,0
CAJWIV_ion_b,2
CAKFEB01_clean,0
CAKFEB_clean,0
CAKFIF_clean,0
CAKXET_clean,0
CAKXIX_clean,0
CAKXOD_clean,0
CAKXUJ_clean,0
CAKYAQ_clean,0
CAKYEU_clean,0
CAKYIY_clean,0
CAMROA_clean,0
CANRIU_clean,4
CANROA_clean,4
CANRUG_clean,0
CANYIB_clean,6
CANZOH_clean,0
CAPLOX_clean,0
CAQCAZ_clean,0
CARGEI_clean,18
CASTEW_clean,0
CASWIE_clean,0
CATART03_clean,0
CAVMIW_clean,0
CAVMIX_clean,8
CAVMOD_clean,8
CAVNOE_clean,0
CAVRAU_clean,0
CAVREY_clean,0
CAVSOJ_clean,0
CAVSUP_clean,0
CAVTAW_clean,0
CAVVUS_clean,0
CAWBUY_clean,0
CAWDOU01_charged,0
CAWDOU02_clean,4
CAWDOU_charged,0
CAWGAJ_clean,12
CAWVIH_clean,0
CAWVIH_SL,0
CAWZUX_clean,24
CAXPEY_clean,0
CAXPIC_clean,0
CAXSUR_clean5b,0
CAXSUR_SL,0
CAXTAY_clean,0
CAXTEC_clean,0
CAXTUS_clean,0
CAXVII_clean,6
CAXVOO_clean,6
CAXVUU_clean,6
CAXWAB_clean,6
CAXWEF_clean,6
CAXWIJ_clean,6
CAXXAC_charged,0
CAXXEG_clean,0
CAXZOS_clean,0
CAYBAH01,0
CAYBAH,4
CAYCAI_clean,12
CAYCEL_charged,0
CAYDEN_clean,0
CAYDIR_clean,0
CAYDOX06_clean,0
CAYDUD_clean,0
CAYGIU,0
CAYKEU_clean,4
CAYMIZ_clean,0
CAYQAV_clean,0
CAYQIE_clean,8
CAYQOK_clean,16
CAYQUQ_clean,8
CAYSIE_clean,0
CAYSOK_clean,0
CAYSOL_clean,0
CAYYEG_clean,0
CAZFOA_clean,1
CAZGIT_clean,16
CAZGOZ_clean,0
CAZNEY_clean,4
CAZNIC_charged,0
CAZNOI_charged,0
CAZNUO_charged,0
Cd3BTB2,3
CDLGLU01_clean,4
CDLGLU02_clean,4
CDLGLU02_SL,1
CDLGLU10_clean,4
CDLGLU11_clean,4
CDLGLU12_clean,4
CEBDOD_clean,0
CECVAI_clean,24
CECVIQ_clean,0
CECVOW_clean,0
CEDFIC_clean,0
CEDFOI_clean,0
CEDFUO_clean,4
CEFDAU_clean,0
CEFLEF_clean,6
CEGDUO_clean,16
CEGFAW_clean,16
CEGWER_clean,4
CEHKUW_clean,8
CEHLAD_clean,16
CEHPIP_clean,0
CEHTEP_clean,12
CEHWIX_clean,4
CEHWOD_clean,4
CEHZAR01_clean,0
CEHZAR_clean,0
CEJBEA_clean,0
CEJCAW_clean,3
CEJVET_clean,0
CEJZAU_clean,0
CEKHIL_clean,2
CEKROB_clean,0
CEKRUH_clean,0
CELKEL_clean,8
CELZEA_clean,4
CELZIE_clean,0
CELZIE_SL,0
CELZOK,0
CEMKOV_clean,4
CEMYUQ_clean,1
CENJIQ_clean,18
CENKAJ_clean,18
CENPUI_clean,3
CEQBUV_charged,0
CERMIV_clean,0
CESFIQ_clean,18
CESFOW_clean,18
CESYEF01_clean,0
CESYEF_clean,0
CETFOX_clean,0
CETFUD_clean,0
CETGOY_clean,6
CETHEQ_clean,9
