Structures,D_i_vdw_uff298,D_f_vdw_uff298,D_if_vdw_uff298
AGIREP_clean,10.93123,6.84553,7.83129
AGOFEJ_clean,11.88214,7.93039,11.88214
AGONAM_clean,5.47786,4.7016,5.36249
AGONEQ_clean,6.16256,5.79525,6.15708
AGOVOJ_clean,13.91863,9.21662,13.91863
AGUBUA_clean,5.24757,4.57203,5.23876
AGUTUS_clean,3.08218,1.91972,3.01497
AGUVOO_charged,5.45326,3.39791,5.44724
AGUWUV_clean,4.30596,3.13062,4.30596
AHAMAY_clean,4.23536,3.26446,4.23536
AHEBAS_clean,5.47891,2.63801,5.47891
AHEQAH_clean,8.4974,5.71538,8.4974
AHINIP_clean,4.70751,2.19627,4.69905
AHIYOH_clean,5.30697,4.41701,5.15515
AHIYUN_clean,4.99529,2.9022,4.97839
AHOBEG_clean,4.60291,3.03733,4.60291
AHOJUC_clean,3.46403,2.52087,3.46403
AHOKAJ_clean,3.44675,2.59453,3.44675
AHOKIR01_clean,3.52201,3.14085,3.52201
AHOKIR_clean,4.49645,3.4829,4.49645
AHOKOX_clean,4.49639,3.5488,4.49639
AHOZAA_clean,4.75833,3.11686,4.75833
AHUFIU_clean,8.38562,5.46922,8.37795
AHUTIH01_clean,3.69417,2.73852,3.69417
AHUTIH_clean,3.70953,3.07085,3.7085
AJAKON_clean,4.67466,4.00299,4.67466
AJAMEF_clean,3.60271,2.33134,3.58524
AJAYIT_clean,6.34091,4.25474,6.34091
AJIGIL_clean,6.14461,5.14756,6.14164
AJINOY_clean,3.05175,1.98391,3.05175
AJOTEY_clean,6.14624,5.11868,6.07586
AJOVEB_clean,5.0653,4.66556,5.06142
AJOXAA_clean,6.52631,3.91825,6.52337
AJUNOK_clean,5.02087,2.38737,5.01786
AKAYIV_clean,9.16128,8.99567,9.15757
AKEDIF_clean,5.53332,4.69213,5.53278
AKIXEZ_clean,11.67162,3.74361,11.66891
AKOBAF_clean,4.19058,3.01524,4.19058
AKOHEO_clean,5.4113,3.82831,5.40943
AKOXIJ_clean,6.67088,4.34059,6.64384
AKUHOD01_clean,3.14756,2.6902,3.14083
AKUHOD03_clean,3.11815,2.68834,3.11815
AKUHOD_clean,3.16286,2.7007,3.15625
AKUKUO_clean,4.74278,4.15261,4.74278
ALAHUS_clean,6.76946,4.82784,6.76813
ALALUU01_clean,3.22538,2.77073,3.22538
ALALUU_clean,3.22331,2.76663,3.22331
ALAMUW_clean,11.3628,5.58349,11.3628
ALANAD_clean,8.17075,5.68105,8.14705
ALATAK_clean,3.37571,2.54522,3.36559
ALEJAE_clean,19.50307,14.17152,19.49691
ALEJEI_clean,17.3809,6.65594,11.25431
ALEJIM_clean,17.89654,6.70666,11.83246
ALEQIT_clean,5.69487,3.76573,5.69487
ALIBUT_clean,13.11733,3.68671,13.11733
ALICAA_clean,13.01527,3.47561,12.99589
ALIFUY_clean,4.01891,2.2927,4.01891
ALIPEQ_clean,3.56683,2.66002,3.56683
ALIXAU_clean_h,5.38619,3.71856,5.38619
ALIXOJ_clean,7.9601,4.66763,7.83982
ALIXUP_clean,5.7772,5.4831,5.7772
ALOLES_ion_b,5.21852,3.48422,5.17061
ALOLET_charged,9.37664,4.67662,9.37096
ALOLIX_charged,9.11046,5.03277,9.11034
ALOLIY_clean,6.84893,5.84952,6.84867
ALOLOD_charged,7.34785,4.37235,7.34785
ALONEV_clean,5.53986,4.6526,5.53986
ALUJEX_clean,5.77188,4.2118,5.77188
ALUJIB_clean,5.84123,4.1931,5.80153
ALUJOH_clean,5.91242,4.23946,5.81496
ALUJUN_clean,4.85568,2.26261,4.85568
ALUKAU_clean,4.799,2.31179,4.77556
ALUKIC_clean,8.18308,6.60975,8.18308
ALUKOI_clean,8.11994,6.61935,8.11303
ALUKUO_clean,8.13087,6.6141,8.13087
ALULAV_clean,8.11781,6.59996,8.11781
ALULEZ_clean,18.12305,13.10034,18.12305
ALULID_clean,7.40678,4.81152,7.31587
ALURAB_clean,6.56502,3.16404,6.55825
ALUREF_clean,6.56905,3.17006,6.56694
ALURIJ_clean,6.54413,3.09593,6.45503
am301365h_si_002_clean,11.49437,2.74727,11.49437
AMAFOK_clean,6.60537,5.44137,6.60537
AMAGAX_clean,6.94249,5.88406,6.94249
AMALND_clean,3.8611,2.58353,3.86035
AMEJIM_charged,6.6073,2.47643,6.13916
AMEJOS_charged,4.02006,2.50847,4.02006
AMIKOX_clean,2.86051,2.22784,2.85738
AMILOY_clean,10.55317,9.0108,10.54842
AMILUE_clean,11.21852,10.68996,11.21618
AMIMAL_clean,10.66494,9.39515,10.66253
AMIMEP_clean,10.96478,10.52787,10.96478
AMIWID_clean,4.81024,3.21015,4.80823
AMIWOJ_clean,4.84868,3.25134,4.75133
AMIWUP_clean,4.82392,3.26903,4.82057
AMIXAW_clean,4.82083,3.25763,4.81816
AMIXEA_clean,4.81052,3.26043,4.8082
AMIZIG_clean,6.09912,5.41952,6.09248
AMODUC_clean,8.06194,6.55272,8.06194
AMOFAK_clean,7.79032,6.39982,7.79032
AMOYOR_clean,4.25529,3.9694,4.24507
AMOZAE_clean,3.74693,2.5614,3.41551
AMUCOB_clean,3.27824,2.63268,3.27824
AMUFAR_clean,4.09967,2.31724,4.09967
AMUFEV_clean,3.40752,2.60178,3.40752
AMUFIZ_clean,3.4187,2.43173,3.4187
AMUFOF_clean,4.70429,3.76865,4.70429
AMUPOP_clean,4.14478,3.30071,4.13404
AMUWIP_charged,9.96732,8.63548,9.96508
AMUWUB_clean,9.70796,7.98645,9.70793
AMUXAI_clean,8.22079,7.05667,8.22079
ANAWIX_clean,5.34381,4.88465,5.34381
ANAWOD_clean,6.83572,5.92016,6.83572
ANEHEI_clean,6.17337,2.83836,6.15151
ANENEN_clean,5.91962,3.68202,5.9187
ANENIR_clean,6.03644,3.80174,6.03644
ANEPIT_clean,3.1995,2.18805,3.05712
ANIDIL_clean,4.4269,3.87151,4.4269
ANOMOG_clean,12.6237,5.15386,12.6237
ANOMUM_clean,6.95281,4.63415,6.95175
ANONAT_manual,7.45651,5.60998,7.45126
ANUGEW_clean,13.6567,9.41989,13.6567
ANUGIA_clean,13.85315,6.42859,12.76054
ANUGOG_clean,11.03609,6.31418,11.0346
ANUGUM_clean,7.88589,6.72332,7.88301
APACAX_clean,5.21068,3.99977,5.19832
APARAM_clean,11.78555,10.83738,11.78555
APAYIB_clean,5.81795,4.20225,5.81795
APAYOH_clean,5.82686,4.32934,5.82685
APAYUN_clean,6.05784,4.09511,6.05374
APAZAU_clean,6.34101,4.47934,6.34087
APAZEY_clean,6.37915,4.68447,6.37071
APAZIC_clean,6.75585,4.81395,6.74988
APAZOI_clean,6.28675,4.27431,6.285
APEBED_clean,4.43988,3.61514,4.43762
APEBEE_clean,5.10787,4.0105,5.10163
APEBII_clean,10.33392,3.5054,10.33392
APEBOO_clean,10.57638,3.74595,10.57638
APEBUU_clean,4.63036,3.21789,4.63036
APETAS_clean,3.57504,2.47798,3.57504
APUPEH_clean,24.49067,14.09165,24.49067
AQAJEI_clean,6.80496,1.85834,6.79903
AQALIO_clean,3.37237,2.64695,3.37225
AQALOU_clean,3.35921,2.64329,3.35431
AQEFOS_clean,8.67645,2.37201,8.67645
AQEFUY_clean,8.43816,2.33464,8.43698
AQEGUY_clean,5.13807,4.36003,5.13807
AQEQES_clean,5.62116,5.22852,5.61882
AQEQIW_clean,6.06263,5.09653,6.05734
AQERUL_clean,4.71975,2.93026,4.71063
AQETIA_clean,3.65075,2.15765,3.45834
AQETUM_clean,5.02926,3.14746,5.0245
AQIQAU_clean,7.31559,6.10606,7.31249
AQIQIC_clean,6.03404,2.59258,6.03404
AQIXUU_clean,4.21918,3.00648,4.21914
AQIXUV_clean,8.18436,4.79625,8.16587
AQMAND01_clean,3.19183,2.7496,3.18606
AQMAND_clean,3.19045,2.74174,3.19045
AQODOA_clean,3.22667,2.52161,3.21367
AQOLEZ_clean,15.58101,9.02528,15.58101
AQOLID_clean,15.47372,8.53761,15.47352
AQOLOJ_clean,15.8486,9.4386,15.8486
AQOLUP_clean,15.59241,8.92489,15.58407
AQOMAW_clean,15.69108,6.03521,15.69108
AQOMEA01_clean,15.72999,9.04114,15.72998
AQOMEA_clean,15.84104,9.17833,15.84103
AQOSEG_clean,9.15607,2.80678,9.13554
AQOTIK_clean,6.81349,3.88631,6.77965
AQUCOF_clean,8.77563,4.91702,8.77526
AQUCOG_clean,11.42842,10.36684,11.42797
AQUCUM_clean,11.52932,10.46623,11.52932
AQUDAS_clean,8.82386,4.99042,8.65048
AQUDAT_clean,3.27354,2.85606,3.27354
AQUDEX_clean,3.32014,2.8932,3.32014
AQUDIB_clean,11.37521,10.26846,11.37521
AQUDOH_clean,3.3263,2.86003,3.3248
ARADEE_clean,5.65158,5.02785,5.6497
ARAFEF_clean,8.78084,8.55764,8.78084
ARAFIJ_clean,7.34355,6.88315,7.34355
ARAFOP_clean,5.46045,4.86882,5.46045
ARAGOR_clean,6.13242,3.76123,6.12853
ARAHIM01_clean,3.18571,2.48427,3.18329
ARAHIM02_clean,3.24014,2.5812,3.24014
ARAHIM_clean,3.23958,2.58064,3.23958
ARIBOS_clean,2.7986,2.08565,2.78926
ARINOF_clean,3.87207,2.76496,3.87207
ARINUL_clean,4.02411,3.13594,4.02411
AROFAP_clean,5.90351,4.08451,5.68066
AROFET_clean,7.6292,4.55001,7.6292
ARUCOH01_clean,5.17142,1.61722,5.17012
ARUCUN_clean,4.75753,1.72556,4.75753
