Structures,chem_comp,solvent_removed,framework_count,framework_mean_dim
ALAMUW_clean,Cu186H24C2418N186O1116,1,1,3.0
ALANAD_clean,Zn496H64C6448N496O2976,1,1,3.0
ALATAK_clean,O496C744Ca124H8,1,1,3.0
ALEQIT_clean,Tb186O1116C2232H36,1,1,3.0
ALIBUT_clean,N4464C8184Mo372Zn48O1488,1,1,3.0
ALICAA_clean,N4464C8184W372Zn48O1488,1,1,3.0
ALIFUY_clean,Cd124O496N372C2976H72,1,2,3.0
ALIPEQ_clean,O1488C744Cd3Zr93,1,1,3.0
ALIXAU_clean_h,Cu372C2976N1488O1426H49,1,1,3.0
ALIXOJ_clean,Ni8H1240C2108O1116,1,1,3.0
ALIXUP_clean,Cu372H40C2108O1240,1,1,3.0
ALOLES_ion_b,Bi612O4692C3672H80K204N408,0,1,3.0
ALOLET_charged,In918H228C20808N1224O7344,0,3,3.0
ALOLIX_charged,Cs306In918H186C20196N918O7344,1,1,3.0
ALOLIY_clean,Mn16C6528H3264O3672,1,1,3.0
ALUJEX_clean,La372H80C4464O2356,1,1,3.0
ALUJIB_clean,Ce372H76C4464O2294,1,1,3.0
ALUJOH_clean,Nd372H72C4464O2232,1,1,3.0
ALUJUN_clean,Y62H12C744O372,1,1,3.0
ALUKAU_clean,Dy62H12C744O372,1,1,3.0
ALUKIC_clean,Ce124H48C2604N372O744,1,1,3.0
ALUKOI_clean,Sm124H48C2604N372O744,1,1,3.0
ALUKUO_clean,Eu124H48C2604N372O744,1,1,3.0
ALULAV_clean,Gd124H48C2604N372O744,1,1,3.0
ALULID_clean,Ce124H48C2604N372O744,1,1,3.0
ALURAB_clean,Co6H4216C4712N868O1116,1,1,3.0
ALUREF_clean,Co6H4216C4712N868O1116,1,1,3.0
ALURIJ_clean,Ni6H4216C4712N868O1116,1,1,3.0
AMAFOK_clean,Cu93H18C930N372O372,1,1,3.0
AMAGAX_clean,Cu372H72C3720N1488O1488,1,1,3.0
AMALND_clean,Nd8C1116O1488,1,1,3.0
AMEJIM_charged,Fe1Cu186H2604C1302N372O558,1,1,3.0
AMEJOS_charged,Fe2Cu372H4464C2232N806O930,0,1,3.0
AMIKOX_clean,Cd124H80C2976N496Cl248,1,1,3.0
AMILOY_clean,Zn496H192C7440N992O1984,1,1,3.0
AMILUE_clean,Zn248H96C3720N496O992,1,1,3.0
AMIMAL_clean,Zn496H192C7440N992O1984,1,1,3.0
AMIMEP_clean,Zn248H96C3720N496O992,1,1,3.0
AMIWID_clean,Eu248H12C1860O1488,1,1,3.0
AMIWOJ_clean,Gd248H12C1860O1488,1,1,3.0
AMIWUP_clean,Tb248H12C1860O1488,1,1,3.0
AMIXAW_clean,Dy248H12C1860O1488,1,1,3.0
AMIXEA_clean,Ho248H12C1860O1488,1,1,3.0
AMIZIG_clean,Zn248O1488C3348H84Na124,1,1,3.0
AMODUC_clean,Tb124H60C2976O744,1,1,3.0
AMOFAK_clean,Eu248H120C5952O1488,1,2,3.0
AMOYOR_clean,Zn62H48C1860N124O248,1,1,3.0
AMOZAE_clean,K204Sm204H4C1836N204O1632,1,1,3.0
AMUCOB_clean,Ca186H36C930O744,1,1,3.0
AMUFAR_clean,O816C1734H1224Co4N102,1,1,3.0
AMUFEV_clean,C1530O816H1122Co4N102,1,1,3.0
AMUFIZ_clean,C1428H1020N204Co4O816,1,1,3.0
AMUFOF_clean,C1530H1122Co4N204O816,1,1,3.0
AMUPOP_clean,Zn372O1488C6696N1488H200,1,1,3.0
AMUWIP_charged,Cu496H256W124C10912S496N992I124,0,2,3.0
AMUWUB_clean,Cu186H42C2294N186O744,1,1,3.0
AMUXAI_clean,Cu186H52C2604N248O744,1,1,3.0
ANAWIX_clean,C3264O2040H8F1632In408,1,1,3.0
ANAWOD_clean,C4896F2448In612O3060H12,1,1,3.0
ANEHEI_clean,Zn248C2170H72N930O620,1,1,3.0
ANENEN_clean,La62H36C1674O558,1,1,3.0
ANENIR_clean,La62H48C1674O558,1,1,3.0
