Structures,Density,cell_volume,POA_VF,PONA_VF,PO_VF
ALUJEX_clean,1.43356,5436.08,0.3719,0.0,0.3719
ALUJIB_clean,1.4324,5415.53,0.3784,0.0,0.3784
ALUJOH_clean,1.41539,5496.43,0.3845,0.0,0.3845
ALUJUN_clean,1.33934,830.874,0.0,0.2902,0.2902
ALUKAU_clean,1.65289,821.132,0.0,0.2919,0.2919
ALUKIC_clean,0.56692,6355.56,0.7819,0.0,0.7819
ALUKOI_clean,0.579939,6330.21,0.7806,0.0,0.7806
ALUKUO_clean,0.582411,6321.62,0.7804,0.0,0.7804
ALULAV_clean,0.590909,6290.14,0.7801,0.0,0.7801
ALULID_clean,0.929552,3876.16,0.5738,0.0,0.5738
ALURAB_clean,1.05182,5185.38,0.3308,0.0,0.3308
ALUREF_clean,1.05415,5173.92,0.3322,0.0,0.3322
ALURIJ_clean,1.07753,5059.43,0.3216,0.0,0.3216
AMAFOK_clean,1.49248,1033.81,0.3038,0.0,0.3038
AMAGAX_clean,1.45916,4229.68,0.3087,0.0,0.3087
AMALND_clean,1.87591,2083.98,0.0,0.2512,0.2512
AMEJIM_charged,1.25739,1957.59,0.0,0.2377,0.2377
AMEJOS_charged,1.41422,3203.55,0.0,0.1201,0.1201
AMIKOX_clean,1.4673,2479.63,0.0,0.0,0.0
AMILOY_clean,1.00746,9221.19,0.4294,0.0,0.4294
AMILUE_clean,0.982365,4728.39,0.456,0.0,0.456
AMIMAL_clean,0.988926,9394.04,0.4386,0.0,0.4386
AMIMEP_clean,0.985981,4711.05,0.4399,0.0,0.4399
AMIWID_clean,2.19335,2056.54,0.28,0.0,0.28
AMIWOJ_clean,2.21508,2068.07,0.2548,0.0,0.2548
AMIWUP_clean,2.24381,2051.51,0.2842,0.0,0.2842
AMIXAW_clean,2.28626,2034.19,0.2579,0.0,0.2579
AMIXEA_clean,2.31747,2020.73,0.2651,0.0,0.2651
AMIZIG_clean,1.40393,3270.26,0.2031,0.0,0.2031
AMODUC_clean,0.575734,6441.06,0.7765,0.0,0.7765
AMOFAK_clean,0.577283,12687.4,0.7532,0.0,0.7532
AMOYOR_clean,1.16972,1538.63,0.2123,0.0,0.2123
AMOZAE_clean,2.17334,1346.45,0.0,0.1746,0.1746
AMUCOB_clean,1.59335,1064.12,0.0,0.0643,0.0643
AMUFAR_clean,1.41757,1115.52,0.0,0.1977,0.1977
AMUFEV_clean,1.5412,972.096,0.0,0.1802,0.1802
AMUFIZ_clean,1.58987,944.403,0.0,0.0826,0.0826
AMUFOF_clean,1.34461,1148.82,0.2891,0.0,0.2891
AMUPOP_clean,1.30283,6399.52,0.1468,0.0,0.1468
AMUWIP_charged,0.771567,16586.5,0.5904,0.0,0.5904
AMUWUB_clean,0.914151,3234.14,0.5267,0.0,0.5267
AMUXAI_clean,1.02442,3142.46,0.4144,0.0,0.4144
ANAWIX_clean,1.52823,3198.02,0.4326,0.0,0.4326
ANAWOD_clean,1.43826,5097.09,0.4808,0.0,0.4808
ANEHEI_clean,1.23995,2914.96,0.0,0.3661,0.3661
ANENEN_clean,1.32355,1569.11,0.2545,0.0,0.2545
ANENIR_clean,1.32991,1576.71,0.2414,0.0,0.2414
ANEPIT_clean,1.48465,4440.56,0.0,0.0,0.0
ANIDIL_clean,1.49981,7673.56,0.1238,0.0,0.1238
ANOMOG_clean,0.784559,10009.8,0.6501,0.0,0.6501
ANOMUM_clean,0.833729,2858.11,0.6454,0.0,0.6454
ANONAT_manual,0.800823,2975.55,0.6628,0.0,0.6628
ANUGEW_clean,0.443469,13618.7,0.8154,0.0,0.8154
ANUGIA_clean,0.567973,5310.8,0.7745,0.0,0.7745
ANUGOG_clean,0.58467,6878.84,0.7649,0.0,0.7649
ANUGUM_clean,0.68036,3183.59,0.7259,0.0,0.7259
APACAX_clean,1.00727,7747.0,0.4424,0.0,0.4424
APARAM_clean,0.965457,3299.26,0.385,0.0476,0.4326
APAYIB_clean,1.10941,6122.14,0.537,0.0,0.537
APAYOH_clean,1.11146,6194.02,0.5298,0.0,0.5298
APAYUN_clean,1.04671,6323.13,0.5349,0.0,0.5349
APAZAU_clean,0.970314,8041.59,0.546,0.0,0.546
APAZEY_clean,0.97171,8125.2,0.5616,0.0,0.5616
APAZIC_clean,0.893607,8537.77,0.5735,0.0,0.5735
APAZOI_clean,1.14648,4891.12,0.5186,0.0,0.5186
APEBED_clean,1.65192,1894.1,0.2313,0.0,0.2313
APEBEE_clean,1.31041,1240.74,0.3365,0.0,0.3365
APEBII_clean,1.22342,11453.3,0.542,0.0,0.542
APEBOO_clean,1.24771,11778.7,0.5709,0.0,0.5709
APEBUU_clean,1.49581,9791.68,0.2065,0.0,0.2065
APETAS_clean,1.99384,1351.72,0.0,0.1138,0.1138
AQAJEI_clean,1.10723,5299.69,0.0,0.3429,0.3429
AQALIO_clean,2.20004,2299.46,0.0,0.1044,0.1044
AQALOU_clean,2.24292,2286.8,0.0,0.0579,0.0579
AQEFOS_clean,1.96074,2901.18,0.0,0.2595,0.2595
AQEFUY_clean,1.21964,5990.43,0.0,0.4345,0.4345
AQEGUY_clean,1.46355,2996.76,0.3528,0.0,0.3528
AQEQES_clean,1.07587,1908.0,0.5363,0.0,0.5363
AQEQIW_clean,1.10057,1904.15,0.5386,0.0,0.5386
AQERUL_clean,1.6479,10922.6,0.1651,0.0,0.1651
AQETIA_clean,1.4454,2256.4,0.0,0.1086,0.1086
AQETUM_clean,1.43617,1900.49,0.3561,0.0,0.3561
AQIQAU_clean,0.861714,7812.86,0.5584,0.0,0.5584
AQIQIC_clean,1.45271,4435.79,0.0,0.3318,0.3318
AQIXUU_clean,2.31618,787.077,0.2463,0.0,0.2463
AQIXUV_clean,0.934501,5325.57,0.3356,0.0,0.3356
AQMAND01_clean,2.08241,946.698,0.0,0.0511,0.0511
AQMAND_clean,2.05912,949.28,0.0,0.0279,0.0279
AQODOA_clean,1.86922,1390.1,0.0,0.0178,0.0178
AQOLEZ_clean,0.777237,6545.39,0.535,0.1479,0.6829000000000001
AQOLOJ_clean,0.918562,6638.31,0.5457,0.1387,0.6843999999999999
AQOMAW_clean,1.14479,6681.32,0.4976,0.1487,0.6463
AQOSEG_clean,1.01326,14461.5,0.0,0.4032,0.4032
AQOTIK_clean,1.47348,702.348,0.4762,0.0,0.4762
AQUCOF_clean,1.04219,3176.23,0.5852,0.0,0.5852
AQUCOG_clean,1.19971,3880.18,0.622,0.0,0.622
AQUCUM_clean,1.1988,3883.12,0.6271,0.0,0.6271
AQUDAS_clean,1.03958,3184.19,0.5803,0.0,0.5803
AQUDAT_clean,1.656,2203.86,0.0627,0.0,0.0627
AQUDEX_clean,1.64794,2214.63,0.0774,0.0,0.0774
AQUDIB_clean,1.19943,3881.07,0.618,0.0,0.618
AQUDOH_clean,1.63524,2231.83,0.0737,0.0,0.0737
ARADEE_clean,1.18176,4887.57,0.5817,0.0,0.5817
ARAFEF_clean,0.837745,2186.41,0.6029,0.0,0.6029
ARAFIJ_clean,0.945343,1937.55,0.5408,0.0,0.5408
ARAFOP_clean,1.1688,1567.12,0.3516,0.0,0.3516
ARAGOR_clean,1.15627,5100.07,0.4164,0.0,0.4164
ARAHIM01_clean,1.81958,1543.26,0.0,0.0332,0.0332
ARAHIM02_clean,1.78903,1558.48,0.0,0.0492,0.0492
ARAHIM_clean,1.80218,1558.17,0.0,0.0492,0.0492
ARIBOS_clean,1.55661,1893.46,0.0,0.0,0.0
ARINOF_clean,1.16089,1384.71,0.0,0.2107,0.2107
ARINUL_clean,1.12547,3187.7,0.1654,0.0,0.1654
AROFAP_clean,1.16997,3565.41,0.4146,0.0,0.4146
AROFET_clean,0.856166,3248.15,0.6134,0.0,0.6134
ARUCOH01_clean,1.16753,3603.92,0.0,0.2605,0.2605
ARUCUN_clean,1.17134,1790.39,0.0,0.2688,0.2688
ARUDAU_clean,1.14806,1826.7,0.0,0.2806,0.2806
ARUJED_clean,1.28631,3957.95,0.0,0.0897,0.0897
ARUYES,1.86441,2516.6,0.0,0.0,0.0
ARUYES_clean,1.47856,2516.6,0.4207,0.0,0.4207
ARUYOB_clean,1.72447,1987.81,0.0,0.3884,0.3884
ARUYUH01_clean,1.67517,2046.32,0.436,0.0,0.436
ARUYUH_clean,1.67938,2041.18,0.4049,0.0,0.4049
ASACON_clean,1.7783,2964.91,0.2953,0.0,0.2953
ASADAA_clean,1.521,2830.39,0.3175,0.0,0.3175
ASAHEJ_clean,2.10294,3067.94,0.4613,0.0,0.4613
ASAJOU_clean,1.42516,2716.02,0.0,0.2081,0.2081
ASALAH_clean,1.39086,1091.44,0.0,0.2161,0.2161
ASALIP_clean,1.49984,1021.06,0.0,0.1525,0.1525
ASALOV_clean,1.38922,2121.73,0.0,0.1665,0.1665
ASAMUE_clean,2.07087,9266.83,0.0,0.1407,0.1407
ASANAL_clean,1.20144,3566.41,0.2317,0.0,0.2317
ASECUY_clean,1.43745,7346.92,0.3187,0.0,0.3187
ASEJOZ01_clean,1.74866,3036.95,0.1867,0.0,0.1867
ASEJOZ_clean,1.75655,3023.3,0.1793,0.0,0.1793
ASEKAM_clean,1.72662,1884.92,0.4256,0.0,0.4256
ASEXED_clean,1.1741,4484.07,0.4254,0.0,0.4254
ASINAT_clean,0.727417,7486.03,0.5832,0.0,0.5832
ASIQEA_clean,0.902561,4194.97,0.4481,0.0,0.4481
ASIQIE_clean,0.893575,4237.16,0.4475,0.0,0.4475
ASIRUR_clean,1.66934,1195.94,0.0,0.0,0.0
ASOHUL_clean,1.03902,1451.3,0.5053,0.0,0.5053
ASOSUY_clean,0.897328,5678.9,0.6098,0.0,0.6098
ASOVEL_clean,1.03379,3113.35,0.3012,0.0,0.3012
ASOYOY_clean,0.828676,16313.6,0.538,0.0,0.538
ASUBIB_clean,1.52116,1823.61,0.4397,0.0,0.4397
ASUJIJ_clean,1.40519,3314.56,0.0,0.1887,0.1887
ASUKEE01_clean,1.18884,13312.0,0.128,0.0,0.128
ASUKEE_clean,1.18597,13344.1,0.1312,0.0,0.1312
ASUWUI_clean,1.15085,4561.92,0.3052,0.0,0.3052
ATAFIK_clean,1.21508,4164.32,0.5739,0.0,0.5739
ATAYAX_clean,0.781859,7213.8,0.676,0.0,0.676
ATAYEB_clean,0.825883,7013.96,0.668,0.0,0.668
ATEJOA_clean,1.89843,1476.07,0.1725,0.0821,0.2546
ATEXII_clean,1.33819,2785.46,0.0,0.1443,0.1443
ATEYED_clean,0.467817,7603.43,0.7363,0.0,0.7363
ATEZAC_clean,0.687634,17029.5,0.6998,0.0,0.6998
ATEZEG_clean,0.775574,16139.1,0.6592,0.0,0.6592
ATEZIK_clean,0.744295,16868.9,0.674,0.0,0.674
ATIBAG_clean,1.64828,1752.61,0.2969,0.0,0.2969
ATIBIO_clean,1.5972,1783.5,0.3243,0.0,0.3243
ATIBOU01_clean,1.59271,1813.75,0.3224,0.0,0.3224
ATIBOU02_clean,1.58929,1817.65,0.3131,0.0,0.3131
ATIBOU_clean,1.66268,1737.42,0.2929,0.0,0.2929
ATIBUA_clean,1.6758,1723.82,0.2843,0.0,0.2843
ATICAH_clean,1.59515,1810.98,0.3187,0.0,0.3187
ATICEL_clean,1.60993,1794.35,0.3037,0.0,0.3037
ATIJUJ_clean5b,0.753394,3081.95,0.5985,0.0,0.5985
ATIJUJ_manual,0.753394,3081.95,0.6013,0.0,0.6013
ATIRUS_clean,2.04969,2411.37,0.1114,0.021,0.1324
ATIXAE_clean,1.08037,3672.24,0.4784,0.0,0.4784
ATIXUX_clean,1.55048,4479.64,0.289,0.0,0.289
ATOGEV_clean,1.61783,2118.84,0.4364,0.0,0.4364
ATOTIM_clean,0.861631,2671.76,0.6036,0.0,0.6036
ATOTIM_manual,0.861631,2671.76,0.5944,0.0,0.5944
ATOWIQ_clean,0.866747,2134.77,0.6064,0.0,0.6064
ATOWOW_clean,0.865497,2137.86,0.6061,0.0,0.6061
ATOXEN_clean,1.32471,1612.66,0.1477,0.0166,0.1643
ATULIM_clean,1.75805,1636.02,0.1818,0.0,0.1818
ATUXIY_clean,1.56042,5101.0,0.4074,0.0,0.4074
