MC_cycle,Potentiel_energy (kJ/mol)
220.0,-266358.11855821905
221.0,-266358.11855821905
222.0,-266358.11855821905
223.0,-266358.56904077256
224.0,-266354.3143360747
225.0,-266354.18651184114
226.0,-266355.0707127686
227.0,-266363.51541927684
228.0,-266363.51541927684
229.0,-266364.40652944724
230.0,-266363.58079504635
231.0,-266363.6409745654
232.0,-266363.6409745654
233.0,-266363.6409745654
234.0,-266363.6409745654
235.0,-266361.97438575164
236.0,-266363.73353582725
237.0,-266365.78324134514
238.0,-266367.30405200325
239.0,-266370.8728174826
240.0,-266370.8728174826
241.0,-266370.15368579834
242.0,-266371.07375167066
243.0,-266368.53922384646
244.0,-266370.2707993842
245.0,-266394.7004942319
246.0,-266400.35948497715
247.0,-266399.57766539254
248.0,-266399.81956735114
249.0,-266401.6387911608
250.0,-266401.6387911608
251.0,-266401.6387911608
252.0,-266402.72506295546
253.0,-266402.72506295546
254.0,-266403.14173486404
255.0,-266400.56804849714
256.0,-266404.49815770413
257.0,-266393.8430751416
258.0,-266397.9291696126
259.0,-266397.9291696126
260.0,-266404.9576047748
261.0,-266406.07679652335
262.0,-266408.803724485
263.0,-266404.2752269118
264.0,-266400.54026996077
265.0,-266403.9719996739
266.0,-266400.6681762943
267.0,-266401.0952700286
268.0,-266402.2697192589
269.0,-266401.63049459824
270.0,-266403.2566955882
271.0,-266400.80631629477
272.0,-266400.08025374543
273.0,-266402.8573933526
274.0,-266402.1976667754
275.0,-266405.1126365527
276.0,-266408.86135254154
277.0,-266407.38809743815
278.0,-266418.69282113377
279.0,-266424.47977284936
280.0,-266425.05196476687
281.0,-266417.79706834565
282.0,-266419.6795725915
283.0,-266417.0752135042
284.0,-266418.1104049584
285.0,-266421.740422498
286.0,-266425.398975405
287.0,-266424.5408294068
288.0,-266426.64071408345
289.0,-266427.3747020462
290.0,-266426.008242268
291.0,-266418.9874806246
292.0,-266420.6663357103
293.0,-266420.3153407786
294.0,-266421.2145542714
295.0,-266416.0572256637
296.0,-266418.44396756205
297.0,-266421.70192601497
