Structures,Adsorption_enthalpy[kJ/mol],Henry_const[mol/kg/Pa],Minimum_energy_channel[kJ/mol],Barrier_energy[kJ/mol],Time[s]
ADODUU_clean_1,-31.3929,0.00105154,-31.6114,-30.4114,5.6106
AFENEE_clean_34,-37.0665,0.000650356,-38.6299,10.4701,4.25371
acs.inorgchem.6b00894_ic6b00894_si_002_clean_5,-32.6657,0.00171412,-34.6465,-29.0465,20.7977
acs.inorgchem.6b00894_ic6b00894_si_002_clean_5,-32.6657,0.00171412,-34.808,-27.408,20.7977
AFOTOF_clean_1,-33.5179,0.000499272,-36.6044,-18.3044,4.2289
AFOVAT_clean_1,-31.8489,0.000359859,-35.4258,-19.1258,4.16146
AFOVEX_clean_1,-33.0233,0.000454139,-36.0915,-17.8915,4.10834
AFEJOK_ion_b_8,-25.9908,0.000242113,-29.6219,-23.3219,6.51107
AFIXAO_clean_14,-31.5087,0.000359524,-33.1002,-16.3002,5.34759
ABAYIO_clean_225,-32.8222,0.000329381,-17.7935,-7.69347,27.2256
acscombsci.5b00188_5020072_clean_1,-13.5532,1.20636e-05,-18.8502,-12.3502,23.9191
AFOYEB_clean_92,-27.482,0.000156355,-26.28,-25.88,1.4284
ACAJIY_clean_1,-35.4908,0.000558185,-37.5847,15.1153,28.4437
ACAJIY_clean_1,-35.4908,0.000558185,-37.5115,15.2885,28.4437
ACAJIY_clean_1,-35.4908,0.000558185,-37.5066,15.2934,28.4437
AFOVIB_clean_1,-33.4011,0.000471181,-36.67,-18.57,5.79442
AGAYIQ_clean_15,-34.2938,7.67096e-05,nan,nan,0.401751
AFUPEX_clean_14,-24.1042,9.87754e-05,-25.4947,-21.0947,2.09342
AGESIP_clean_14,-12.6923,1.41648e-08,nan,nan,0.054949
AGIMOU_clean_14,-33.1067,0.000120114,nan,nan,0.0947517
AFOYOK_clean_11,-22.4094,7.16639e-05,-24.8616,-18.6616,2.86276
AFOYIE_clean_62,-19.6875,4.20543e-05,-23.4512,-16.6512,3.14444
AFOTUL_clean_1,-33.1706,0.000456069,-36.3262,-18.3262,7.24347
AGARUW_clean_62,-22.7584,5.12606e-05,-24.9662,-19.4662,2.1651
AGUTUS_clean_14,-6.77348,5.59881e-10,nan,nan,0.121894
acs.inorgchem.6b01416_ic6b01416_si_004_clean_43,-30.7352,0.00111822,-32.9698,2.43025,24.9026
AGAYOW_clean_15,-31.9107,0.000468475,nan,nan,1.75184
AFOYAW_clean_2,-27.5342,0.000267838,-30.0849,-20.6849,5.6952
AFIXES_clean_14,-31.7629,0.000353022,-33.239,-16.239,9.03812
AGONAM_clean_14,-26.418,0.000212508,-27.9999,-23.7999,1.55676
AFOVOH_clean_1,-33.2587,0.000459311,-36.4541,-18.0541,7.09226
AHINIP_clean_4,-36.2614,0.000843476,nan,nan,0.516936
AGUWUV_clean_2,-27.7881,3.08272e-05,-28.9308,-7.23083,1.10991
AHAMAY_clean_2,-31.2296,9.3637e-05,-31.9713,-23.0713,1.12546
AHOJUC_clean_13,3.97877,9.48187e-12,nan,nan,0.0409716
AHOKAJ_clean_13,5.87522,4.03823e-12,nan,nan,0.0383644
ABAYOU_clean_225,-32.5681,0.000325213,-18.1086,-8.60864,32.3528
AHOKIR01_clean_2,-34.5166,0.000192055,-35.3947,-0.194694,0.306642
AHOKIR_clean_12,-28.1875,4.57727e-05,-28.5692,-3.86917,0.422014
AGUBUA_clean_60,-30.8825,0.000701038,-30.701,-27.901,3.16002
AHOKOX_clean_59,-26.2097,3.57763e-05,-26.559,-5.75898,0.528226
AHUTIH01_clean_14,-24.5741,3.35388e-06,nan,nan,0.104238
AHUTIH_clean_14,-22.6928,1.76673e-06,nan,nan,0.102636
AGONEQ_clean_7,-20.6813,7.49707e-05,-20.5944,-19.7944,3.93714
ACOLOV_clean_14,-22.2748,9.83876e-05,-25.6314,-20.1314,31.7041
AJAMEF_clean_15,-37.7527,0.00078173,nan,nan,0.366191
ADUWIH_clean_201,-20.6552,7.22222e-05,-23.5538,-17.9538,15.7352
AJINOY_clean_2,-14.033,3.80657e-09,nan,nan,0.117232
AHOBEG_clean_2,-31.4125,0.000246157,-32.5836,17.4164,4.12023
