Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,ASA_m2_cm3,time
AGAYOW_clean_15,-32.2226,0.000558354,115.63,39.178
AMOZAE_clean_14,-23.6036,2.14376e-06,0,11.2935
AMEJIM_charged_148,-25.2159,3.67898e-05,109.175,18.8805
AMIKOX_clean_54,-2.37403,5.39717e-11,0,18.3189
ANAWIX_clean_15,-26.8008,0.000168845,284.725,9.06783
AMIWID_clean_14,-35.7694,0.00144246,66.6223,18.6956
ACOLIP_clean_1,-33.5418,0.00105071,22.3284,60.2219
AHOBEG_clean_2,-31.5384,0.000343613,12.7956,40.7696
ac403674p_si_001_clean_4,-22.4211,2.32928e-05,327.181,60.5561
acscombsci.5b00188_5013797_clean_1,-22.1296,8.01564e-05,669.939,60.7386
AMIWOJ_clean_14,-35.5453,0.00134964,70.9338,18.5199
AMIWUP_clean_14,-35.7846,0.00147475,68.7668,17.7411
AMAFOK_clean_2,-30.2864,0.000536068,338.435,23.3452
ALIFUY_clean_14,-38.3509,0.00193932,2.80628,33.9296
ANAWOD_clean_52,-25.8046,0.000138417,497.22,13.1956
AMIXAW_clean_14,-36.1807,0.00162627,67.5514,19.0133
acs.inorgchem.6b01211_ic6b01211_si_002_clean_2,-33.404,0.00137198,566.043,63.3934
AHUFIU_clean_14,-20.2042,2.55727e-05,693.882,43.0013
AMIZIG_clean_62,-24.2149,2.83778e-05,156.432,19.6904
AKUHOD03_clean_1,0.124763,2.57499e-11,0,42.0094
am301365h_si_002_clean_160,-22.5439,6.30423e-05,585.275,28.9769
AKAYIV_clean_13,-21.3135,2.422e-05,390.161,43.9961
AJINOY_clean_2,-14.3255,4.40493e-09,0,45.69
APACAX_clean_122,-28.0701,0.00044419,179.255,11.9195
ALULID_clean_2,-23.1073,9.83835e-05,603.889,34.4939
AMOFAK_clean_19,-17.7675,4.87066e-05,1095.33,23.5991
AHIYOH_clean_61,-33.0755,0.00120029,175.176,49.9266
AMUFOF_clean_2,-29.3237,0.000219588,64.8249,22.895
APARAM_clean_147,-44.6238,0.0146569,281.944,12.2921
ANOMOG_clean_12,-35.2948,0.000794164,640.959,17.6518
ANUGOG_clean_15,-20.1565,6.86358e-05,925.547,14.9865
AKOXIJ_clean_12,-44.4823,0.0312265,303.298,47.4098
ADASUV_clean_2,-20.3839,5.80194e-05,790.141,71.3323
AMUFEV_clean_2,-24.5019,5.04519e-06,0,25.2708
AQEQES_clean_15,-24.3651,0.000173119,513.353,4.39089
AMUFIZ_clean_2,-22.9715,1.19446e-06,0,25.663
AMUFAR_clean_2,-32.321,0.000230004,0.324506,26.8141
AQALOU_clean_62,2.65895,2.65941e-11,0,9.38645
AQALIO_clean_62,1.60177,4.93038e-11,0,10.0585
ANUGUM_clean_2,-21.9701,0.000132631,894.83,17.2336
ANOMUM_clean_2,-23.344,0.00015476,649.041,20.9907
ADODUU_clean_1,-31.3886,0.000933122,271.681,68.7858
ALEQIT_clean_2,-31.1066,0.000251764,136.314,47.0602
APAZOI_clean_15,-28.8139,0.000512005,438.109,13.8653
AJAKON_clean_14,-32.522,0.000481225,93.3975,53.6025
