Structures,CPU_time (s)
AKAYIV_clean_13,25.4965
AQUDAS_clean_7,9.79782
ASIQEA_clean_86,5.50146
ATIBOU_clean_14,2.59058
ATIBUA_clean_14,2.52983
ATIRUS_clean_15,1.61694
ATIBOU02_clean_14,2.88523
ASAJOU_clean_12,6.86431
AMUXAI_clean_2,18.4184
ATICAH_clean_14,2.59309
ATICEL_clean_14,2.62171
AMAGAX_clean_2,22.3878
ATOGEV_clean_14,2.2333
ALIXAU_clean_h_1,25.5945
ASIQIE_clean_86,6.6261
ATEXII_clean_19,5.02107
ATIXUX_clean_68,2.79816
AVEMOE_clean_33,1.3785
AQOSEG_clean_88,12.7666
AMUWUB_clean_2,20.4691
ANEPIT_clean_2,20.3904
ATUXIY_clean_15,3.49383
ARINOF_clean_2,10.7956
AVAQIX_clean_61,3.05926
AVALEO_clean_15,3.18112
ATOTIM_clean_63,4.40836
ATOTIM_manual_63,4.43003
AVAQIX01_clean_61,3.33475
ASECUY_clean_15,9.62923
ASUBIB_clean_2,8.66716
ASAMUE_clean_61,9.96213
ATEYED_clean_15,7.40506
ATULIM_clean_32,4.60281
AVETAY_clean_122,2.70854
AVEROJ_clean_4,3.59478
AHIYUN_clean_15,32.0896
AVIHOE_clean_91,1.90349
AVETEC_clean_122,2.89396
ATIXAE_clean_14,6.56452
ALANAD_clean_2,30.1505
ATOWIQ_clean_12,6.24339
ATOXEN_clean_2,5.99457
ATUXOE_clean_2,6.01031
ASADAA_clean_2,12.1853
ALOLET_charged_159,29.6931
AVIHIY_clean_78,2.70897
ATOWOW_clean_12,6.50559
ASUJIJ_clean_14,10.5828
ARUCOH01_clean_14,13.1015
ATUYAR_clean_2,6.11166
ATUXUK_clean_2,6.20881
ASANAL_clean_14,12.2452
AVUJIL_clean_14,1.1034
ASOVEL_clean_19,11.4687
ARUCUN_clean_2,14.139
AQEGUY_clean_2,19.234
AVAGOV_clean_88,7.26478
AVAGIP_clean_88,7.43984
ARUDAU_clean_2,14.296
AROFET_clean_2,14.7872
AVESOL_clean_14,6.43828
AQERUL_clean_135,19.5334
AVAGUB_clean_86,7.82163
ARUJED_clean_14,14.7349
AVESUR_clean_56,6.62252
AVEVEE_clean_2,5.26743
AVIMIC_clean_15,4.99573
AVIPOL_clean_14,5.16195
AVEMAQ_clean_118,7.9975
AVELUJ_clean_118,8.43308
AVELOD_clean_118,8.65603
AVIMUO_clean_14,6.02597
ANEHEI_clean_2,27.1304
AVUPIR_clean_h_1,4.29643
AWOFOI_clean_14,1.89432
AVIVAC_clean_141,6.10569
AWEGEP_clean_62,2.77135
AVITUU_clean_141,6.36475
AVIVEG_clean_141,6.12236
AVIVIK_clean_141,5.97951
AXAQAT_clean_8,0.982846
AVIVOQ_clean_141,6.08355
AVIVUW_clean_141,6.11116
ASAHEJ_clean_2,16.7981
AMODUC_clean_1,29.6991
AWASAU_clean_14,4.48974
AQEFOS_clean_2,22.9645
AXAWUT_clean_60,1.21604
AXOCAT_clean_14,0.627659
ATEJOA_clean_2,14.7002
AVIMOI_clean_14,7.5103
AXUDII04_clean_225,0.356175
AVEQID_clean_14,10.2615
AWIBAL_clean_2,3.77416
