Structures,CPU_time (s)
AQUDEX_clean_15,1.51972
AFITIT_clean_5,10.4997
ARAGOR_clean_15,1.28935
AQOLEZ_clean_123,2.34907
ARUYUH_clean_56,0.657337
AMUXAI_clean_2,5.42105
AQUDOH_clean_15,1.61891
AQAJEI_clean_60,3.78032
AJOVEB_clean_2,9.19032
ARUYOB_clean_14,1.09027
APAYUN_clean_15,4.64364
APEBEE_clean_2,4.29975
AJAKON_clean_14,9.56493
ASALAH_clean_19,0.824001
AMUPOP_clean_15,5.98058
AQIXUU_clean_2,3.14461
APAYOH_clean_15,4.81224
ARADEE_clean_15,2.07879
ASALIP_clean_19,1.00417
ASOHUL_clean_62,0.61385
ASEJOZ01_clean_15,0.853716
AMOFAK_clean_19,6.87076
ASACON_clean_52,1.5379
ASEKAM_clean_15,0.952587
APAYIB_clean_15,5.38048
acs.inorgchem.6b00894_ic6b00894_si_002_clean_5,12.9607
AQIQAU_clean_15,4.01606
ASEJOZ_clean_15,1.30797
ARUYES_clean_14,2.10385
APAZIC_clean_15,5.55299
ARIBOS_clean_14,2.37386
ASIRUR_clean_14,1.28082
AHIYOH_clean_61,10.8294
AMAGAX_clean_2,8.46919
ALOLET_charged_159,9.56047
AQUCOF_clean_7,3.49
AFUKAP_clean_2,11.6891
ALUJEX_clean_2,9.65442
APEBUU_clean_15,5.52325
ASIQEA_clean_86,1.71336
APAZAU_clean_15,6.09498
AQUDAS_clean_7,3.55994
ANOMOG_clean_12,6.83089
AKOXIJ_clean_12,10.8919
APAZEY_clean_15,6.31583
ATAFIK_clean_106,1.47206
ATIBIO_clean_14,0.942447
ARUYES_14,3.08073
ANENIR_clean_1,7.27892
ATIRUS_clean_15,0.784117
ASIQIE_clean_86,2.32684
ATIBAG_clean_14,1.27098
ASALOV_clean_9,2.72568
ASUKEE01_clean_70,2.18375
ATIBOU_clean_14,1.3042
ATIBOU01_clean_14,1.3276
ASAJOU_clean_12,3.14668
ALIXAU_clean_h_1,10.8969
ASUKEE_clean_70,2.24668
ATIBUA_clean_14,1.30842
ATICEL_clean_14,1.29783
ATICAH_clean_14,1.3493
ATOTIM_clean_63,1.02976
ATIBOU02_clean_14,1.55063
ATOTIM_manual_63,1.03767
ATOGEV_clean_14,1.3437
ANUGEW_clean_2,7.90064
AQOSEG_clean_88,5.27782
ARINUL_clean_117,4.17184
ATIXUX_clean_68,1.46771
AMEJOS_charged_2,10.051
AVEMOE_clean_33,0.640617
ASECUY_clean_15,3.53595
ANIDIL_clean_15,8.36696
ATEXII_clean_19,2.70147
ATOWIQ_clean_12,1.83364
ATOWOW_clean_12,1.803
ATUXIY_clean_15,1.76946
AVALEO_clean_15,1.54414
AROFET_clean_2,5.10586
AVIHOE_clean_91,0.799257
ATULIM_clean_32,2.20295
ATEYED_clean_15,3.38207
ASAHEJ_clean_2,4.846
AVAQIX_clean_61,1.73592
AVIHIY_clean_78,1.12758
AVAQIX01_clean_61,1.87261
AVEROJ_clean_4,1.70274
AVETAY_clean_122,1.51602
AHUFIU_clean_14,13.8895
AVETEC_clean_122,1.63744
ASADAA_clean_2,5.37443
ARINOF_clean_2,5.85948
ASUBIB_clean_2,4.50955
ANEPIT_clean_2,9.85859
ASAMUE_clean_61,5.15536
ATOXEN_clean_2,2.98514
ATIXAE_clean_14,3.3267
ANUGIA_clean_1,9.82238
AMIMEP_clean_9,11.4518
AVUJIL_clean_14,0.614075
AVAGIP_clean_88,2.98668
ATUXUK_clean_2,3.17131
ATUXOE_clean_2,3.24216
AVAGUB_clean_86,3.0966
ATUYAR_clean_2,3.28684
ADASUV_clean_2,17.4762
AVIMIC_clean_15,2.28644
AVAGOV_clean_88,3.23533
AMIMAL_clean_14,12.1129
AVELOD_clean_118,3.0923
ARUCOH01_clean_14,6.64523
AMILOY_clean_14,12.3716
AVELUJ_clean_118,3.0563
AMILUE_clean_9,12.3988
ALANAD_clean_2,14.3353
AVEMAQ_clean_118,3.31563
AVITUU_clean_141,2.06641
ASUJIJ_clean_14,5.72296
AVIVAC_clean_141,2.00433
AVEVEE_clean_2,3.0044
AVIVIK_clean_141,2.05575
AVIVEG_clean_141,2.11485
AQEFOS_clean_2,9.72809
AVIPOL_clean_14,2.51317
AVIVOQ_clean_141,2.07199
AVIVUW_clean_141,2.12816
ANEHEI_clean_2,11.576
AVESOL_clean_14,3.58959
AVESUR_clean_56,3.53862
ASANAL_clean_14,6.80016
AVIMUO_clean_14,3.15395
AXAQAT_clean_8,0.528487
ARUJED_clean_14,7.60252
AGIREP_clean_2,16.6156
AVUPIR_clean_h_1,2.17288
AMODUC_clean_1,12.9301
AWOFOI_clean_14,1.09678
AXAWUT_clean_60,0.655952
AWEGEP_clean_62,1.28198
AXOCAT_clean_14,0.333352
ARUCUN_clean_2,7.9725
ARUDAU_clean_2,7.95552
AQEGUY_clean_2,10.3955
AXUDII04_clean_225,0.27575
