Structures,finished,Diffusion_coefficient,r2,Diffusion_coefficient_log
WUNTIJ_clean,0.0,6.249315072020405e-06,0.9724901440656586,-5.2041675789347
PUGGOP_clean,0.0,1.6779216837342775e-06,0.9759172413217144,-5.775228313540566
LIWXOG_clean,1.0,3.214712177232347e-07,0.9923119276528696,-6.492857904679229
SOZRUW_clean,0.0,8.260729349948871e-05,0.9988403573120214,-4.082981606593115
c5sc03494a_c5sc03494a2_clean,0.0,0.00014470365485637018,0.9987430416453719,-3.8395204995381285
XUFPIZ_clean,0.0,1.1061690869702827e-11,-0.7801143422616719,-10.956178482502015
BUGSOM_clean,1.0,5.1991514308152365e-06,0.9800158186676992,-5.284067533093504
HOYTUL_clean,1.0,4.0880526165335196e-07,0.9772429140850248,-6.388483523117202
ZOMNIA_clean,1.0,3.567912847078302e-05,0.9877340955891376,-4.447585762618575
TUBCEA_clean,1.0,9.65159286713722e-07,0.9763273686672592,-6.01540100620844
AQOLOJ_clean,0.0,0.0001513227135085637,0.9973299366632157,-3.82009587957048
CAMROA_clean,0.0,4.501761067333533e-05,0.9865842851192901,-4.346617559067237
WASMIP01_clean,1.0,9.68402838158302e-11,-4.7797514767942095,-10.013943946414647
EMIHAK_charged,0.0,4.636392507257714e-05,0.9956914372975784,-4.33381980469283
HAMRIY_clean,1.0,4.110724610830075e-05,0.9981903897829913,-4.386081616871549
EXEMUR_clean,0.0,2.3330602245885698e-05,0.9985544283567822,-4.632074050375168
LEMVOP_clean,0.0,5.3034529993660534e-11,-2.448623474086182,-10.275441275630337
GUKZAO_clean,1.0,9.41744348370915e-05,0.9973335716629477,-4.026066977420092
WAJLEA_charged,0.0,7.975412782629079e-08,0.4578453401715672,-7.098246829953697
KICXAX_clean,0.0,5.799581004900865e-05,0.993028804420182,-4.236603381235773
GALJAG_clean,1.0,6.392408427845945e-05,0.9924555976233481,-4.194335484586891
TURDOB_clean,0.0,9.417817882685697e-06,0.8957366240858229,-5.026049711993677
APEBOO_clean,0.0,1.5492550455131605e-08,-0.6751454855525043,-7.809877080793933
XEKCAT01_clean,1.0,7.856294488713419e-05,0.9987144689220377,-4.104782245635293
ADOBOL_charged,0.0,9.313585277067944e-07,0.997002395959534,-6.030883104592136
AZIXUD_clean,1.0,1.0309859013384693e-05,0.9903515809740654,-4.9867472736231475
XIDBUJ_clean,1.0,2.281479722562966e-05,0.9898548753998033,-4.6417833868159954
CUVHIL02_clean_h,1.0,0.00016024353705661217,0.9899092496112192,-3.795219477423821
ACAJIY_clean,0.0,2.684176104371854e-10,0.9874902811159156,-9.571188994222874
GEJJEL01_clean,1.0,1.883222776850305e-07,0.998116408693099,-6.725098301845276
UTEXAT_clean,1.0,4.5882797399796076e-08,0.653382133061803,-7.338350111732861
c6ce00465b_c6ce00465b2_clean,1.0,9.055771696279471e-05,0.9944162341646008,-4.0430745349517245
AVIHOE_clean,1.0,5.6281140734032675e-05,0.9870582884329977,-4.249637108652448
MANLOD_manual,0.0,4.005421201256851e-05,0.9854327658636326,-4.39735180772874
OPAPUR_clean,1.0,6.092154196046606e-11,-6.923729866722783,-10.215229112945206
EMIGOX_charged,0.0,2.6983065360828992e-05,0.9959193598634385,-4.568908714646619
ELELEN_clean,1.0,2.5708368869033783e-05,0.9939701454676534,-4.5899254773692055
VITZAB_clean,1.0,4.8146663408527944e-05,0.971837664636998,-4.317433804354067
MANLOD_clean5b,0.0,2.6800711479278312e-05,0.952528057862003,-4.571853676589751
