MC_cycle,Potentiel_energy (kJ/mol)
138.0,-97968.41939180977
139.0,-97968.59144550629
140.0,-97968.7682342996
141.0,-97971.0544826578
142.0,-97971.0544826578
143.0,-97971.91067320101
144.0,-97972.23850828742
145.0,-97976.9494410979
146.0,-97974.69980885352
147.0,-97975.08923576977
148.0,-97975.08923576977
149.0,-97975.79469987363
150.0,-97976.50954786206
151.0,-97975.56424565295
152.0,-97973.4266941995
153.0,-97976.63802877936
154.0,-97975.55815883604
155.0,-97978.19513528129
156.0,-97977.63452819057
157.0,-97976.42635643047
158.0,-97976.42635643047
159.0,-97974.25285397688
160.0,-97973.47009629104
161.0,-97974.88932738127
162.0,-97973.28654027586
163.0,-97970.31016597948
164.0,-97961.55779379957
165.0,-97961.55779379957
166.0,-97965.65686734061
167.0,-97967.54139078637
168.0,-97967.54139078637
169.0,-97967.5422466372
170.0,-97968.7901585968
171.0,-97969.82084492767
172.0,-97972.9391163428
173.0,-97973.18688823501
174.0,-97976.49108377763
175.0,-97958.40940882853
176.0,-97954.81337043762
177.0,-97955.05221228868
178.0,-97954.44020796912
179.0,-97956.04571470957
180.0,-97956.04571470957
181.0,-97951.6396007762
182.0,-97952.33098492435
183.0,-97952.36685685425
184.0,-97949.28339492512
185.0,-97945.27247283263
186.0,-97963.17739447004
187.0,-97970.5535957568
188.0,-97966.18838491627
189.0,-97967.11009381576
190.0,-97964.93527149543
191.0,-97961.66581311035
192.0,-97958.34132460566
193.0,-97958.28520992203
194.0,-97954.20473640926
195.0,-97954.00950564042
196.0,-97954.69899100381
197.0,-97954.40494795496
198.0,-97962.17564288968
199.0,-97958.60830224023
200.0,-97952.10521811024
201.0,-97952.96108627362
202.0,-97954.81854712166
203.0,-97952.19124576694
204.0,-97956.06228109621
205.0,-97959.46960294164
206.0,-97961.11568599667
207.0,-97962.29542419304
208.0,-97963.0148152038
209.0,-97963.0148152038
210.0,-97965.52289508986
211.0,-97959.39361194972
212.0,-97963.94478494598
213.0,-97967.6184450039
214.0,-97967.23210674936
215.0,-97962.6448130206
216.0,-97962.35475024054
217.0,-97962.30008143873
218.0,-97965.92901745878
219.0,-97965.92901745878
220.0,-97964.82809090012
221.0,-97963.43397744889
222.0,-97964.38485423107
223.0,-97963.5493945026
224.0,-97971.88891041836
225.0,-97969.16818005632
226.0,-97970.7911737601
227.0,-97969.88843026168
228.0,-97962.92629613353
229.0,-97954.89490574354
230.0,-97954.21960289842
231.0,-97942.9430832127
232.0,-97942.84615808143
233.0,-97944.3137541098
234.0,-97953.32171012844
235.0,-97956.2029427089
236.0,-97950.83442100469
237.0,-97946.47032609169
238.0,-97945.73452957094
239.0,-97942.99485003302
240.0,-97954.87603893281
241.0,-97953.56746971082
242.0,-97953.42288262148
243.0,-97952.99729511114
